idno,name,year,duration_weeks,country,cadre,training_name
01AM020500,Shri Kumar Sanjay Krishna,2006,2,USA                                               ,Assam Meghalaya,Practice of Trade Policy                                                                            
01AM020500,Shri Kumar Sanjay Krishna,1999,2,JAPAN                                             ,Assam Meghalaya,Seminar on Mktg. Extension                                                                          
01AM020400,Shri Hector Marwein,1998,52,AUSTRALIA                                         ,Assam Meghalaya,U/WESTERN SYDNEY MBA                                                                                
01AM021200,Shri M C Jauhari,2003,6,USA                                               ,Assam Meghalaya,Short Term Training                                                                                 
01AM021800,Shri Pochister Kharkongor,2003,12,UNITED KINGDOM                                    ,Assam Meghalaya,Short Term    Traiiing                                                                              
01AM021300,Shri M Srinivas Rao,2002,52,UNITED KINGDOM                                    ,Assam Meghalaya,Domestic Funding of Foreign Trg.                                                                    
01AM021300,Shri M Srinivas Rao,1999,4,ITALY                                             ,Assam Meghalaya,EQUIPMT PROCUREMT MGT                                                                               
01AM021900,Shri Jishnu Barua,2005,2,UNITED KINGDOM                                    ,Assam Meghalaya,Short Term Training                                                                                 
01AM021900,Shri Jishnu Barua,2001,2,KOREA                                             ,Assam Meghalaya,COLOMBO TECH EDU WEB                                                                                
01AM020600,Shri Sanjeeva Kumar,2005,1,CHINA                                             ,Assam Meghalaya,INTNL CONF.PRISON SOCIETY                                                                           
01AM020600,Shri Sanjeeva Kumar,2005,52,NETHERLANDS                                       ,Assam Meghalaya,MA(Public Policy & Mgmt.)                                                                           
01AM021400,Dr. Ajay Kumar Singh,2008,2,AUSTRALIA                                         ,Assam Meghalaya,Exec short cour in Good Goverance                                                                   
01AM021600,Shri Ram Mohan Mishra,2003,6,USA                                               ,Assam Meghalaya,Short Term Training                                                                                 
01AM022701,Shri Paban Kumar Borthakur,2000,1,                                                  ,Assam Meghalaya,Project Planning & Evaluation                                                                       
01AM022701,Shri Paban Kumar Borthakur,2000,1,JAPAN                                             ,Assam Meghalaya,Study meeting on Regional Industrialization and Development sponsored by Asian productivity organiza
01AM023000,Shri Pankaj Jain,2005,2,UNITED KINGDOM                                    ,Assam Meghalaya,Short Term Training                                                                                 
01AM023000,Shri Pankaj Jain,2005,2,BANGLADESH                                        ,Assam Meghalaya,CONSULTANCY ASGMT(ST)                                                                               
01AM023000,Shri Pankaj Jain,2005,2,BANGLADESH                                        ,Assam Meghalaya,CONSULTANCY(ST)ASSIGMT                                                                              
01AM023000,Shri Pankaj Jain,2002,1,JAPAN                                             ,Assam Meghalaya,CONSULTANCY(ST)APO                                                                                  
01AM018000,Shri Kuljit Singh Kropha,1997,52,UNITED KINGDOM                                    ,Assam Meghalaya,COLOMBO PLAN SOCIAL PO                                                                              
01AM023300,Shri Hemanta Narzary,2004,1,                                                  ,Assam Meghalaya,Indian Bhutan Meeting on Border Management & Summits                                                
01AM023300,Shri Hemanta Narzary,2010,2,SRI LANKA                                         ,Assam Meghalaya,As member of International Observer to observe Presidential Election of Sri Lanka                   
01AM023800,Dr. Ashish Kumar Bhutani,2005,2,SOUTH AFRICA                                      ,Assam Meghalaya,GOOD GOVERNANCE                                                                                     
01AM023800,Dr. Ashish Kumar Bhutani,2007,2,CHINA                                             ,Assam Meghalaya,China Urban Dev Exp.                                                                                
01AM023800,Dr. Ashish Kumar Bhutani,2008,2,KOREA                                             ,Assam Meghalaya,E- Govt Dev for Nl Competitiveness                                                                  
01AM023600,Shri Alok Khare,2000,2,PHILIPPINES                                       ,Assam Meghalaya,INF.TECH.IN COMN.RU.DV                                                                              
01AM024300,Shri Kailash Chand Samria,2008,2,UNITED KINGDOM                                    ,Assam Meghalaya,Managing the Proc.Fun.                                                                              
01AM024800,Shri Samir Kumar Sinha,2005,2,SOUTH AFRICA                                      ,Assam Meghalaya,GOOD GOVERNANCE                                                                                     
01AM024800,Shri Samir Kumar Sinha,2002,2,PHILIPPINES                                       ,Assam Meghalaya,FACILITN COMMUNITY DEV                                                                              
01AM024600,Shri Niraj Verma,2008,2,KOREA                                             ,Assam Meghalaya,Infor. & Tech. Learning Prog                                                                        
01AM025200,Dr. M Ariz Ahammed,1995,104,                                                  ,Assam Meghalaya,Professional course for IAS                                                                         
01AM025200,Dr. M Ariz Ahammed,1996,1,                                                  ,Assam Meghalaya,Particpatory Rural Appraisal                                                                        
01AM025200,Dr. M Ariz Ahammed,2000,1,                                                  ,Assam Meghalaya,Direct Trainer skills                                                                               
01AM025200,Dr. M Ariz Ahammed,2004,10,                                                  ,Assam Meghalaya,Incident Command System                                                                             
01AM025200,Dr. M Ariz Ahammed,2006,1,                                                  ,Assam Meghalaya,Design of Training                                                                                  
01AM025200,Dr. M Ariz Ahammed,2006,2,                                                  ,Assam Meghalaya,Training needs analysis                                                                             
01AM025200,Dr. M Ariz Ahammed,2007,6,                                                  ,Assam Meghalaya,Disaster Management Framework                                                                       
01AM025200,Dr. M Ariz Ahammed,2011,1,                                                  ,Assam Meghalaya,Accounting and Auditing standards for SLPEs                                                         
01AM025200,Dr. M Ariz Ahammed,2011,1,                                                  ,Assam Meghalaya,e-Governance Project Life Cycle                                                                     
01AM025200,Dr. M Ariz Ahammed,2011,4,SWEDEN                                            ,Assam Meghalaya,Public Service Management                                                                           
01AM025200,Dr. M Ariz Ahammed,2004,2,USA                                               ,Assam Meghalaya,Study Tour on Disaster Management                                                                   
01AM025200,Dr. M Ariz Ahammed,2009,2,AUSTRALIA                                         ,Assam Meghalaya,Public Health Sector Reforms Mgt.& Evaluation                                                       
01AM025200,Dr. M Ariz Ahammed,2008,2,KOREA                                             ,Assam Meghalaya,Study visit under Mid career training phase iv                                                      
01AM025200,Dr. M Ariz Ahammed,2001,15,GERMANY,Assam Meghalaya,Educational Planning & Research on Tech. & Vocational Edu. Trg.( TVET)                              
01AM026800,Shri Ashutosh Agnihotri,2004,2,AUSTRALIA                                         ,Assam Meghalaya,REFORMS URBAN&RURAL DV                                                                              
01AM027400,Dr. M Angamuthu,2007,2,UNITED KINGDOM                                    ,Assam Meghalaya,Natural & Organic  Products Fair                                                                    
01AM028100,Shri S. P. Gotmare,2008,2,KOREA                                             ,Assam Meghalaya,Infor. & Tech. Learning Prog.                                                                       
01AM808202,Shri Rwitticka Das Kalita,2010,8,                                                  ,Assam Meghalaya,Induction Trg Course                                                                                
01AM808204,Shri Preetom Kumar Saikia,2007,1,CHINA                                             ,Assam Meghalaya,Peoples Republic of China Urban Dev Experience with private sector participation                    
01AM808204,Shri Preetom Kumar Saikia,2010,1,SINGAPORE                                         ,Assam Meghalaya,Seminars organized in connection with singapore International Water week Singapore                  
01AP026800,Shri R P Watal,1991,65,FRANCE                                            ,Andhra Pradesh,Intrnl Eco Relations & Language Trg                                                                 
01AP027300,Shri I Y R Krishna Rao,2001,1,                                                  ,Andhra Pradesh,WTO&NEW TRADE REGIME                                                                                
01AP027300,Shri I Y R Krishna Rao,1991,52,UNITED KINGDOM                                    ,Andhra Pradesh,U/E ANGLIA MSc AGR ECO                                                                              
01AP027300,Shri I Y R Krishna Rao,2007,2,USA                                               ,Andhra Pradesh,Executive Development Seminar                                                                       
01AP027400,Dr. I V Subba Rao,1996,3,USA                                               ,Andhra Pradesh,Education Policy Planning                                                                           
01AP028100,Shri Satyanarayan Mohanty,1997,16,USA                                               ,Andhra Pradesh,U/hARWARD URBAN&REG ST                                                                              
01AP028200,Ms. D Lakshmi P Bhaskar,2002,2,SINGAPORE                                         ,Andhra Pradesh,URBAN PLANNING&DEVELOP                                                                              
01AP028300,Shri Aswini Kumar Parida,1989,7,USA                                               ,Andhra Pradesh,DESIGNING&MANAG INT RD                                                                              
01AP028300,Shri Aswini Kumar Parida,2008,3,USA                                               ,Andhra Pradesh,INCIDENT COMMAND SYSTEM                                                                             
01AP029200,Shri Sathya Prakash Tucker,1994,6,PAKISTAN                                          ,Andhra Pradesh,POVERTY ALLEVIATION                                                                                 
01AP029400,Dr. Koppula Raju,,,AUSTRALIA                                         ,Andhra Pradesh,U/CURTIN PG DIP BUS.MG                                                                              
01AP029300,Shri Chirravuri Viswanath,1993,52,UNITED KINGDOM                                    ,Andhra Pradesh,U/BIRMGHM ECO MGT                                                                                   
01AP029300,Shri Chirravuri Viswanath,2009,2,USA                                               ,Andhra Pradesh,Executive Development                                                                               
01AP029500,Dr. C B Venkataramana,1997,3,USA                                               ,Andhra Pradesh,HEALTH FIN & SUST BOST                                                                              
01AP029500,Dr. C B Venkataramana,1998,4,AUSTRALIA                                         ,Andhra Pradesh,HIV/AIDS MGT COURSE                                                                                 
01AP030000,Shri Rajiv Sharma,1994,52,UNITED KINGDOM                                    ,Andhra Pradesh,MA IN RURAL DEVELOPMET                                                                              
01AP030100,Shri Lingaraj Panigrahi,1996,2,PHILIPPINES                                       ,Andhra Pradesh,PLG&MGT OF RURAL DEV                                                                                
01AP030200,Shri K Pradeep Chandra,1995,12,UNITED KINGDOM                                    ,Andhra Pradesh,COM PUB ENT MANAGEMENT                                                                              
01AP030200,Shri K Pradeep Chandra,1999,2,PAKISTAN                                          ,Andhra Pradesh,STUDY TOUR POV ALLEVIA                                                                              
01AP030500,Shri L V Subramanyam,1993,52,UNITED KINGDOM                                    ,Andhra Pradesh,NL DEV PROJ                                                                                         
01AP030600,Shri Ajeya Kallam,1997,52,AUSTRALIA                                         ,Andhra Pradesh,U/WESTERN SYDNY MBA                                                                                 
01AP030700,Shri Shekhar Prasad Singh,2000,56,AUSTRALIA                                         ,Andhra Pradesh,MBA AUSTRALIA                                                                                       
01AP030700,Shri Shekhar Prasad Singh,2005,1,SINGAPORE                                         ,Andhra Pradesh,STUDY TOUR                                                                                          
01AP030800,Shri Mukkamala G Gopal,2003,2,USA                                               ,Andhra Pradesh,SOLID WASTE&SWERGE DIS                                                                              
01AP030800,Shri Mukkamala G Gopal,1994,4,ITALY                                             ,Andhra Pradesh,EQUIPMT PROCUREMT MGT                                                                               
01AP030900,Dr. Dinesh Kumar,1997,44,SLOVENIA                                          ,Andhra Pradesh,MBA ICPE ( JUBLJANA)                                                                                
01AP030900,Dr. Dinesh Kumar,1992,2,BANGLADESH                                        ,Andhra Pradesh,CYCLONE WARNING RESP.                                                                               
01AP031100,Shri Vinod Kumar Agrawal,1992,2,                                                  ,Andhra Pradesh,Internal Security Trg. Program                                                                      
01AP031100,Shri Vinod Kumar Agrawal,1995,1,                                                  ,Andhra Pradesh,IIM Ahmeddabad Managing Agri.Expert Business                                                        
01AP031100,Shri Vinod Kumar Agrawal,1996,1,                                                  ,Andhra Pradesh,"ASCI, Hyderabad-State level  Modular Program on Private particpation in road& Electricty Sector     "
01AP031100,Shri Vinod Kumar Agrawal,1996,2,                                                  ,Andhra Pradesh,Wxport Marketing of Agri                                                                            
01AP031100,Shri Vinod Kumar Agrawal,1999,1,                                                  ,Andhra Pradesh,"IIM, Lucknow Electronic Commerce                                                                    "
01AP031100,Shri Vinod Kumar Agrawal,2000,1,                                                  ,Andhra Pradesh,Dr MCR HRD Institute of AP Hyderabad                                                                
01AP031100,Shri Vinod Kumar Agrawal,2001,1,                                                  ,Andhra Pradesh,Qualified Learning Systems New Delhi                                                                
01AP031100,Shri Vinod Kumar Agrawal,1997,1,THAILAND                                          ,Andhra Pradesh,Intl Agricultural Marketing                                                                         
01AP031100,Shri Vinod Kumar Agrawal,2007,2,USA                                               ,Andhra Pradesh,Executive Dev Seminar                                                                               
01AP031300,Shri Bhanwar Lal,2001,52,UNITED KINGDOM                                    ,Andhra Pradesh,U/BIRMINGHAM MBA                                                                                    
01AP031400,Shri Randeep Sudan,1994,52,UNITED KINGDOM                                    ,Andhra Pradesh,MSc SOCIAL POL&PLG                                                                                  
01AP031400,Shri Randeep Sudan,2003,7,NA/OTHERS                                         ,Andhra Pradesh,"CONSULTY.ADB,MANILA                                                                                 "
01AP031500,Shri T Radha,1993,52,UNITED KINGDOM                                    ,Andhra Pradesh,U/MANCHESTER DEV ADMN                                                                               
01AP031700,Shri Busi Sam Bob,1994,52,UNITED KINGDOM                                    ,Andhra Pradesh,ECO & MANAGEMENT                                                                                    
01AP031700,Shri Busi Sam Bob,2001,2,USA                                               ,Andhra Pradesh,INCEPTION PHASE GREEN                                                                               
01AP031701,Ms. Ranjeev R Acharya,1997,52,UNITED KINGDOM                                    ,Andhra Pradesh,MA ECO&MGT OF RURAL DV                                                                              
01AP031702,Dr.(Ms.) Preeti Sudan,1994,52,UNITED KINGDOM                                    ,Andhra Pradesh,SOCIAL POLICY & PLANNI                                                                              
01AP031702,Dr.(Ms.) Preeti Sudan,2000,4,USA                                               ,Andhra Pradesh,PUB.FIN.MGT.IMF.WASHI                                                                               
01AP031800,Shri V Nagi Reddy,1998,52,UNITED KINGDOM                                    ,Andhra Pradesh,DEV MGT GLASGOW UNI UK                                                                              
01AP031900,Shri J Raymond Peter,1999,1,PHILIPPINES                                       ,Andhra Pradesh,PROPERTY RIGHTS&DEVOLU                                                                              
01AP032100,Ms. Nilam Sawhney,2007,2,UNITED KINGDOM                                    ,Andhra Pradesh,Short Term Trg. Programme                                                                           
01AP032300,Shri Anil Chandra Punetha,1996,52,UNITED KINGDOM                                    ,Andhra Pradesh,U/EAST ANGLIO RURAL DV                                                                              
01AP032400,Shri Shailendra Kumar Joshi,2004,3,BANGLADESH                                        ,Andhra Pradesh,"STC,UNFCCC,BAGLADESH                                                                                "
01AP032600,Shri A Vidya Sagar,2004,2,USA                                               ,Andhra Pradesh,Short Term Training                                                                                 
01AP032600,Shri A Vidya Sagar,2008,3,AUSTRALIA                                         ,Andhra Pradesh,Pub.Health Sec.Reforms Mgt.                                                                         
01AP032800,Dr. Sameer Sharma,2004,1,USA                                               ,Andhra Pradesh,Metropolitan Strectures & Dynamics                                                                  
01AP032800,Dr. Sameer Sharma,2005,1,USA                                               ,Andhra Pradesh,Reg.Eco.Dev.&Globlisation                                                                           
01AP032800,Dr. Sameer Sharma,2005,1,USA                                               ,Andhra Pradesh,Computer Stat.Prog-rammes                                                                           
01AP032800,Dr. Sameer Sharma,2006,2,USA                                               ,Andhra Pradesh,"Pol.Analysis,Plan Impl.&Mgt.                                                                        "
01AP032800,Dr. Sameer Sharma,2006,1,USA                                               ,Andhra Pradesh,"Sustainable Dev,Environment Dev.& Policies                                                          "
01AP032800,Dr. Sameer Sharma,2006,1,USA                                               ,Andhra Pradesh,Writers Workshop by the Journal                                                                     
01AP032800,Dr. Sameer Sharma,2006,1,USA                                               ,Andhra Pradesh,Geographical Information Systems                                                                    
01AP032800,Dr. Sameer Sharma,2006,0,USA                                               ,Andhra Pradesh,Partial Funding Scheme                                                                              
01AP032800,Dr. Sameer Sharma,2007,1,USA                                               ,Andhra Pradesh,Municipal Budget & Finance                                                                          
01AP032800,Dr. Sameer Sharma,2007,1,USA                                               ,Andhra Pradesh,Ethics in Planning & Administration                                                                 
01AP032800,Dr. Sameer Sharma,2007,2,USA                                               ,Andhra Pradesh,Strategic Plans in Studio Workshops                                                                 
01AP032800,Dr. Sameer Sharma,1991,2,INDONESIA                                         ,Andhra Pradesh,Kampong Slum Imp.Proj.                                                                              
01AP032900,Ms. Pushpa Subrahmanyam,1998,52,UNITED KINGDOM                                    ,Andhra Pradesh,MSc NL DEV&PRO PLG UK                                                                               
01AP032900,Ms. Pushpa Subrahmanyam,1993,3,JAPAN                                             ,Andhra Pradesh,YOUTH EXCH PROGRAMME                                                                                
01AP033000,Shri R Subrahmanyam,1998,52,UNITED KINGDOM                                    ,Andhra Pradesh,MSc MACRO ECO POL UK                                                                                
01AP033200,Shri Suresh Chanda,2003,38,USA                                               ,Andhra Pradesh,M.A PUBLIC ADMN                                                                                     
01AP033300,Dr. Manmohan Singh,1999,52,UNITED KINGDOM                                    ,Andhra Pradesh,"U/BIRMINGHAM,MBA                                                                                    "
01AP033400,Ms. Veena Ish,,6,CANADA                                            ,Andhra Pradesh,TRG(IPDET )OTTAWA                                                                                   
01AP033400,Ms. Veena Ish,2001,3,CANADA                                            ,Andhra Pradesh,INTER PROG FOR TRG                                                                                  
01AP033500,Shri Jagdish Chander Sharma,2000,52,UNITED KINGDOM                                    ,Andhra Pradesh,U/HULL MBA                                                                                          
01AP033700,Shri Heera Lal Samariya,1998,9,UNITED KINGDOM                                    ,Andhra Pradesh,COM PUB ENTER MGT U.K.                                                                              
01AP033900,Dr. D Sambasiva Rao,2005,2,USA                                               ,Andhra Pradesh,Short Term Training                                                                                 
01AP034100,Shri Abhay Tripathi,2005,10,NETHERLANDS                                       ,Andhra Pradesh,Short Term Training                                                                                 
01AP034200,Shri Satish Chandra,2009,2,USA                                               ,Andhra Pradesh,Leadership Potential Seminar                                                                        
01AP034300,Shri Rajeshwar Tiwari,2009,17,USA                                               ,Andhra Pradesh,Certificate Prog in Pub Admn                                                                        
01AP034400,Shri Bhambal Ram Meena,2005,1,                                                  ,Andhra Pradesh,COMMUNITY MOB.&MGT TECH.                                                                            
01AP034400,Shri Bhambal Ram Meena,2005,2,USA                                               ,Andhra Pradesh,Short Term Training                                                                                 
01AP034700,Shri Rajiv Ranjan Mishra,2006,12,USA                                               ,Andhra Pradesh,visit                                                                                               
01AP034800,Shri J S Venkateswara Prasad,2002,3,HOLLAND                                           ,Andhra Pradesh,"STUDT TOUR,HOLLAND USA                                                                              "
01AP035001,Ms. Vasudha Mishra,2006,12,USA                                               ,Andhra Pradesh,visit                                                                                               
01AP035100,Shri Aramane Giridhar,2006,1,GERMANY,Andhra Pradesh,Banking Sys.& Fin.inclusion                                                                         
01AP035100,Shri Aramane Giridhar,2005,2,SINGAPORE                                         ,Andhra Pradesh,Macro Eco.Mgt.& Fin.Sec.Issues                                                                      
01AP035220,Shri L Shasidhar,2009,2,AUSTRALIA                                         ,Andhra Pradesh,Corruption & Anti-curruption                                                                        
01AP035220,Shri L Shasidhar,2004,52,PHILIPPINES                                       ,Andhra Pradesh,MDM Programme                                                                                       
01AP035700,Shri Somesh Kumar,2004,5,VIETNAM,Andhra Pradesh,CONSULTANCY(ST)IFAD                                                                                 
01AP035900,Shri R Karikal Valaven,2008,3,USA                                               ,Andhra Pradesh,Fiscal Decen. & Local Govt. Fin. Mgnt.                                                              
01AP036200,Shri Shashank Goel,2002,11,USA                                               ,Andhra Pradesh,Intership WB                                                                                        
01AP036200,Shri Shashank Goel,2006,2,NETHERLANDS                                       ,Andhra Pradesh,Short Term Training                                                                                 
01AP036200,Shri Shashank Goel,2006,11,NETHERLANDS                                       ,Andhra Pradesh,"Gov,Democra & PP                                                                                    "
01AP036500,Shri G Anantha Ramu,2002,1,NETHERLANDS                                       ,Andhra Pradesh,WORKSHOP WATER SUPPLY                                                                               
01AP036800,Dr. Rajat Kumar,2003,2,USA                                               ,Andhra Pradesh,WATER&WASTEWATER ORIEN                                                                              
01AP037100,Ms. Sumita Dawra,2005,2,THAILAND                                          ,Andhra Pradesh,Short Term  Training                                                                                
01AP037100,Ms. Sumita Dawra,2005,39,UNITED KINGDOM                                    ,Andhra Pradesh,MBA Public Policy                                                                                   
01AP037200,Shri Ram Prakash Sisodia,2008,47,                                                  ,Andhra Pradesh,48th Course                                                                                         
01AP037200,Shri Ram Prakash Sisodia,1998,4,UNITED KINGDOM                                    ,Andhra Pradesh,RL POV ALV PRO DG &MGT                                                                              
01AP037200,Shri Ram Prakash Sisodia,1999,1,USA                                               ,Andhra Pradesh,SOLID WASTE&WASTEWATER                                                                              
01AP037500,Shri K Vijayanand,2008,2,AUSTRALIA                                         ,Andhra Pradesh,On Study Tour                                                                                       
01AP037600,Shri Vikas Raj,2006,0,USA                                               ,Andhra Pradesh,Partial Funding Scheme                                                                              
01AP037700,Shri Sanjay Jaju,2000,4,USA                                               ,Andhra Pradesh,FINANCE&FISCAL MGT                                                                                  
01AP037800,Shri Budithi Rajsekhar,2002,6,                                                  ,Andhra Pradesh,"UNICEF,LEADER HIV/AIDS                                                                              "
01AP037800,Shri Budithi Rajsekhar,1998,5,UNITED KINGDOM                                    ,Andhra Pradesh,RL POV ALV PRO DES&MGT                                                                              
01AP037914,Shri V N Vishnu,1992,16,UNITED KINGDOM                                    ,Andhra Pradesh,RURAL RESEAECH&POLICY                                                                               
01AP038100,Shri Gopal Krishna Dwivedi,1998,5,UNITED KINGDOM                                    ,Andhra Pradesh,RL POV ALV PRO DES&MGT                                                                              
01AP038200,Ms. K Damayanthi,1998,4,UNITED KINGDOM                                    ,Andhra Pradesh,RL POV ALV PRO DES&MGT                                                                              
01AP038215,Dr. B Kishore,2011,2,                                                  ,Andhra Pradesh,CANADIAN PUBLIC POLICY TRG                                                                          
01AP038215,Dr. B Kishore,2001,24,CANADA                                            ,Andhra Pradesh,CERTIFICATE IN COMMUNITY BASED DEVE                                                                 
01AP038217,Shri C Parthasarathi,2006,1,USA                                               ,Andhra Pradesh,WORLD BANK RURAL DAYS                                                                               
01AP038217,Shri C Parthasarathi,1998,12,NA/OTHERS                                         ,Andhra Pradesh,COTTON PROD TECH EGYPT                                                                              
01AP038220,Shri Anil Kumar Singhal,1998,5,UNITED KINGDOM                                    ,Andhra Pradesh,Rurl Poverty Allev Proj Design & Mgt                                                                
01AP038220,Shri Anil Kumar Singhal,2008,4,USA                                               ,Andhra Pradesh,Proj Appraisal & Risk Mgt                                                                           
