cadre,name,year,duration_weeks,idno,training_name
Assam Meghalaya,Shri Sameer Kumar Khare,1989,36,01AM022500,LBSNAA MUSSOORIE                                                                                    
Assam Meghalaya,Shri Sameer Kumar Khare,1990,6,01AM022500,TREASURY ADMN                                                                                       
Assam Meghalaya,Shri Sameer Kumar Khare,1990,2,01AM022500,ASC GUWAHATI                                                                                        
Assam Meghalaya,Shri Sameer Kumar Khare,1991,6,01AM022500,SURVEY & SETTLEMENT                                                                                 
Assam Meghalaya,Shri Sameer Kumar Khare,1991,4,01AM022500,ASC GUWAHATI                                                                                        
Assam Meghalaya,Shri Sameer Kumar Khare,1991,9,01AM022500,LBSNAA MUSSOORIE                                                                                    
Assam Meghalaya,Shri Sameer Kumar Khare,1994,1,01AM022500,HUMAN SETTLGT INST ND                                                                               
Assam Meghalaya,Shri Sameer Kumar Khare,1996,3,01AM022500,IPA RAJASTHAN                                                                                       
Assam Meghalaya,Shri Sameer Kumar Khare,1997,1,01AM022500,ASC GUWAHATI                                                                                        
Assam Meghalaya,Shri Paban Kumar Borthakur,2000,1,01AM022701,MDP on Managing through E-Techniques                                                                
Assam Meghalaya,Shri Paban Kumar Borthakur,2005,1,01AM022701,Technical inputs for non-technical executives in power sector                                       
Assam Meghalaya,Shri Syedain Abbasi,1998,2,01AM023100,FINCL MGT PROJECT MGT                                                                               
Assam Meghalaya,Shri Syedain Abbasi,2003,2,01AM023100,World bank Procurement Procedures                                                                   
Assam Meghalaya,Shri Hemanta Narzary,1994,1,01AM023300,Human Rights Seminars                                                                               
Assam Meghalaya,Shri Hemanta Narzary,2006,2,01AM023300,Joint Civil Militry                                                                                 
Assam Meghalaya,Shri Hemanta Narzary,2007,1,01AM023300,Management of Environment and National Resources New Delhi                                          
Assam Meghalaya,Shri Hemanta Narzary,2007,1,01AM023300,Participated Indo Bangla talks                                                                      
Assam Meghalaya,Shri Vijayendra,1999,2,01AM023500,TRAINING                                                                                            
Assam Meghalaya,Shri Kailash Chand Samria,2000,2,01AM024300,"YCADA,PUNE JR.LEVEL TG                                                                              "
Assam Meghalaya,Shri Kailash Chand Samria,2001,1,01AM024300,"IIPA,N.D PLG DISASTER                                                                               "
Assam Meghalaya,Shri Kailash Chand Samria,2002,1,01AM024300,"NISA,CISF HYD DISASTER                                                                              "
Assam Meghalaya,Shri Donald Philips Wahlang,2000,2,01AM024400,"YCADA,PUNE PUBLIC ADMN                                                                              "
Assam Meghalaya,Shri Sanjay Lohiya,2002,2,01AM024500,Junior Level                                                                                        
Assam Meghalaya,Shri Sanjay Lohiya,2006,2,01AM024500,Training of world bank Procrement Procedure                                                         
Assam Meghalaya,Shri Sanjay Lohiya,2008,1,01AM024500,E- governance Opportunities& chellenges                                                             
Assam Meghalaya,Shri Niraj Verma,2007,52,01AM024600,PG TRG IN PUB & POLI. MGT                                                                           
Assam Meghalaya,Shri A. P. Das Joshi,2002,2,01AM024700,"IIMB, JR.LEVEL TRAINIG                                                                              "
Assam Meghalaya,Shri Samir Kumar Sinha,1998,1,01AM024800,ASC GUWAHATI                                                                                        
Assam Meghalaya,Shri Samir Kumar Sinha,2007,52,01AM024800,PG Prog. in Public Mgt & Policy                                                                     
Assam Meghalaya,Shri Krishna Kumar Dwivedi,2008,1,01AM026000,WTO New Trad4e Regime                                                                               
Assam Meghalaya,Shri Krishna Kumar Dwivedi,2009,1,01AM026000,Advance Course on WTO                                                                               
Assam Meghalaya,Shri Manish Thakur,2004,2,01AM026600,JUNIOR LEVEL TRAINING                                                                               
Assam Meghalaya,Dr. M Angamuthu,200,1,01AM027400,RTI workshop                                                                                        
Assam Meghalaya,Dr. M Angamuthu,2007,1,01AM027400,UNDP-DOPT Workshop                                                                                  
Assam Meghalaya,Dr. M Angamuthu,2007,1,01AM027400,Malaria Mgt. Workshop                                                                               
Assam Meghalaya,Dr. M Angamuthu,2009,1,01AM027400,National Security Module                                                                            
Assam Meghalaya,Dr. M Angamuthu,2010,1,01AM027400,Forest Rights Act                                                                                   
Assam Meghalaya,Dr. Jayant Narlikar,2007,1,01AM027700,MICRO Finaance and SHGS formation                                                                   
Assam Meghalaya,Dr. Jayant Narlikar,2009,1,01AM027700,DISASTER MANAGEMENT                                                                                 
Assam Meghalaya,Shri Siddharth Singh,2009,1,01AM028800,Training on Microfinance & Financial inclusion in SIPA Rajasthan                                    
Assam Meghalaya,Shri Vinod S,2009,4,01AM030100,survey & settlement training                                                                        
Assam Meghalaya,Shri Viswanathan S,2009,4,01AM030300,survey & settlement training                                                                        
Assam Meghalaya,Shri Ram Singh,2009,4,01AM030400,survey & settlement training                                                                        
Assam Meghalaya,Shri Manoj Kumar,2009,4,01AM030500,survey & settlement training                                                                        
Assam Meghalaya,Shri Preetom Kumar Saikia,2007,1,01AM808204,On policy formulation                                                                               
Assam Meghalaya,Shri Preetom Kumar Saikia,2007,1,01AM808204,India Urban Space workshop Mumbai                                                                   
Assam Meghalaya,Shri Preetom Kumar Saikia,2009,7,01AM808204,Induction training programme for IAS Officer                                                        
Andhra Pradesh,Shri R Bhattacharya,1986,4,01AP026700,MP ACAD OF ADMN PROG I                                                                              
Andhra Pradesh,Shri R Bhattacharya,1990,3,01AP026700,IIM BANGALORE                                                                                       
Andhra Pradesh,Shri R Bhattacharya,1997,47,01AP026700,NL DEFENCE COLLEGE N D                                                                              
Andhra Pradesh,Shri R Bhattacharya,2002,1,01AP026700,"IIPA,N.D IN SERVICE TG                                                                              "
Andhra Pradesh,Shri R P Watal,1986,1,01AP026800,ADM TRG INSTT MYSORE                                                                                
Andhra Pradesh,Shri R P Watal,1987,3,01AP026800,MIDA POONA PROG IMPLMN                                                                              
Andhra Pradesh,Shri I Y R Krishna Rao,1985,1,01AP027300,INST OF PUB ENTRE HYD                                                                               
Andhra Pradesh,Shri I Y R Krishna Rao,1986,4,01AP027300,SPIPA AHD PUB ADMN                                                                                  
Andhra Pradesh,Shri I Y R Krishna Rao,1989,1,01AP027300,HUM.RES.DEVP.INCL.PERF.                                                                             
Andhra Pradesh,Shri I Y R Krishna Rao,1994,1,01AP027300,RURAL DEVELOPMENT                                                                                   
Andhra Pradesh,Shri I Y R Krishna Rao,1996,1,01AP027300,INTER-GOVT FINANCIAL                                                                                
Andhra Pradesh,Shri I Y R Krishna Rao,1999,2,01AP027300,SR.LEVEL 1979-82 TRG                                                                                
Andhra Pradesh,Shri I Y R Krishna Rao,2002,1,01AP027300,BASIC COURSE ON WTO                                                                                 
Andhra Pradesh,Shri I Y R Krishna Rao,2003,1,01AP027300,ADVANCE COURSE ON WTO                                                                               
Andhra Pradesh,Dr. I V Subba Rao,1984,6,01AP027400,OSMANIA BUS MGT                                                                                     
Andhra Pradesh,Dr. I V Subba Rao,1985,1,01AP027400,INST OF PUB ENTRE HYD                                                                               
Andhra Pradesh,Dr. I V Subba Rao,1988,4,01AP027400,AT1 CALCUTTA ADMINISTR                                                                              
Andhra Pradesh,Dr. I V Subba Rao,1992,3,01AP027400,ASC HYD                                                                                             
Andhra Pradesh,Shri Satyanarayan Mohanty,1988,2,01AP028100,IFM MADRAS FINCE MGT                                                                                
Andhra Pradesh,Shri Satyanarayan Mohanty,2002,2,01AP028100,"ASCI,HYD ADV.COURS WTO                                                                              "
Andhra Pradesh,Shri Satyanarayan Mohanty,2003,48,01AP028100,"NL DEFENCE COLLEGE,N.D                                                                              "
Andhra Pradesh,Ms. D Lakshmi P Bhaskar,1988,4,01AP028200,ATI MYSORE                                                                                          
Andhra Pradesh,Ms. D Lakshmi P Bhaskar,1991,3,01AP028200,ATI MYSORE                                                                                          
Andhra Pradesh,Shri Aswini Kumar Parida,1986,1,01AP028300,MGT DEV INST GURGAON                                                                                
Andhra Pradesh,Shri Sathya Prakash Tucker,1986,1,01AP029200,"NLI,ND TAXES WAGES&PRI                                                                              "
Andhra Pradesh,Shri Sathya Prakash Tucker,1986,1,01AP029200,"MDI,GURGAON FINCL MGT                                                                               "
Andhra Pradesh,Shri Sathya Prakash Tucker,1987,1,01AP029200,"IIMC,MIS&COMPUTER                                                                                   "
Andhra Pradesh,Shri Sathya Prakash Tucker,1988,4,01AP029200,HCMIPA RAJ PUBLIC ADMN                                                                              
Andhra Pradesh,Shri Sathya Prakash Tucker,1988,4,01AP029200,"RIPA,JAIPUR ENVIRN&RUL                                                                              "
Andhra Pradesh,Shri Sathya Prakash Tucker,1989,1,01AP029200,"NIVA,ND URBAN&RURAL DV                                                                              "
Andhra Pradesh,Shri Sathya Prakash Tucker,1993,3,01AP029200,"IIMB,MIDDLE LEVEL                                                                                   "
Andhra Pradesh,Shri Chirravuri Viswanath,1988,4,01AP029300,INST OF MGT TRIVANDRUM                                                                              
Andhra Pradesh,Shri Chirravuri Viswanath,2006,1,01AP029300,IN SER.TRG E-GOVERNANCE                                                                             
Andhra Pradesh,Dr. C B Venkataramana,1986,1,01AP029500,IIPA ND POLICY PLG                                                                                  
Andhra Pradesh,Dr. C B Venkataramana,1991,3,01AP029500,ATI MYSORE                                                                                          
Andhra Pradesh,Shri Ramesh Kumar Nimmagadda,1986,1,01AP029600,IIPA ND POLICY PLG                                                                                  
Andhra Pradesh,Shri Ramesh Kumar Nimmagadda,1986,1,01AP029600,"IPE,HYD MGT.STATE ENTR                                                                              "
Andhra Pradesh,Shri Ramesh Kumar Nimmagadda,1987,1,01AP029600,"IIMC,CALCUTTA HRD                                                                                   "
Andhra Pradesh,Shri Ramesh Kumar Nimmagadda,1988,1,01AP029600,"IPE,HYD MGT STATE ENTR                                                                              "
Andhra Pradesh,Shri Ramesh Kumar Nimmagadda,1989,1,01AP029600,"IIM,BANGALORE PRO.MGT.                                                                              "
Andhra Pradesh,Shri Ramesh Kumar Nimmagadda,1993,3,01AP029600,"IIM,CALCUTTA MIDDLE LV                                                                              "
Andhra Pradesh,Shri Ramesh Kumar Nimmagadda,1994,1,01AP029600,"ASCI,HYD ECO.IMPLICATN                                                                              "
Andhra Pradesh,Shri Ramesh Kumar Nimmagadda,1997,1,01AP029600,LBSNA URBAN RURAL DEVE                                                                              
Andhra Pradesh,Shri Ramesh Kumar Nimmagadda,1998,1,01AP029600,HEALTH POLICY PLG MGT                                                                               
Andhra Pradesh,Shri Ramesh Kumar Nimmagadda,2001,2,01AP029600,SENIOR LEVEL TRG                                                                                    
Andhra Pradesh,Shri Ramesh Kumar Nimmagadda,2004,1,01AP029600,BASIC COURSE ON WTO                                                                                 
Andhra Pradesh,Shri Rajiv Sharma,1986,1,01AP030000,INST OF PUB ENTRE HYD                                                                               
Andhra Pradesh,Shri Rajiv Sharma,1990,4,01AP030000,IPA JAIPUR TRAINING                                                                                 
Andhra Pradesh,Shri Rajiv Sharma,1999,1,01AP030000,"IIM, BANGALORE                                                                                      "
Andhra Pradesh,Shri Lingaraj Panigrahi,1986,1,01AP030100,ATI MYSORE                                                                                          
Andhra Pradesh,Shri Lingaraj Panigrahi,1996,4,01AP030100,NIRD HYD                                                                                            
Andhra Pradesh,Shri K Pradeep Chandra,1986,1,01AP030200,ATI MYSORE ADM                                                                                      
Andhra Pradesh,Shri K Pradeep Chandra,1991,3,01AP030200,MH.INSTT.DEV.ADMN.PNA                                                                               
Andhra Pradesh,Shri T Vijayakumar,1991,3,01AP030400,AASC GUWAHATI                                                                                       
Andhra Pradesh,Shri T Vijayakumar,2002,1,01AP030400,"NIC,ND COMPUTER APPLIC                                                                              "
Andhra Pradesh,Shri L V Subramanyam,1988,1,01AP030500,ECONOMIC ENVIRONMENT                                                                                
Andhra Pradesh,Shri L V Subramanyam,1989,1,01AP030500,ENERGY & ENVIRMT                                                                                    
Andhra Pradesh,Shri L V Subramanyam,1990,1,01AP030500,MIS&COMPUTER APPL                                                                                   
Andhra Pradesh,Shri L V Subramanyam,1995,1,01AP030500,INDUS&POLICY PLG                                                                                    
Andhra Pradesh,Shri L V Subramanyam,1996,1,01AP030500,ENERGY&DEVLOP.                                                                                      
Andhra Pradesh,Shri L V Subramanyam,1999,2,01AP030500,MIDDLE LEVEL TRG                                                                                    
Andhra Pradesh,Shri L V Subramanyam,2000,1,01AP030500,PUB.POLICY&ANALYSIS                                                                                 
Andhra Pradesh,Shri L V Subramanyam,2006,1,01AP030500,IN SER.TRG E-GOVERNANCE                                                                             
Andhra Pradesh,Shri Ajeya Kallam,1991,3,01AP030600,ATI MYSORE                                                                                          
Andhra Pradesh,Shri Ajeya Kallam,2002,2,01AP030600,"ASI,HYD.SR.LEVEL TRG                                                                                "
Andhra Pradesh,Shri Mukkamala G Gopal,1990,3,01AP030800,I.A.HYD                                                                                             
Andhra Pradesh,Shri Mukkamala G Gopal,2002,2,01AP030800,"ASCI,HYD IN SERVICE TG                                                                              "
Andhra Pradesh,Dr. Dinesh Kumar,1986,1,01AP030900,TRIBAL WELFARE ADMN                                                                                 
Andhra Pradesh,Dr. Dinesh Kumar,1987,1,01AP030900,MIS&COMPUTER APPLI.                                                                                 
Andhra Pradesh,Dr. Dinesh Kumar,1988,1,01AP030900,INTRO./SELECTING COMPUT.                                                                            
Andhra Pradesh,Dr. Dinesh Kumar,1989,1,01AP030900,EDU.PLG.IN LONG TERM                                                                                
Andhra Pradesh,Dr. Dinesh Kumar,1992,1,01AP030900,HUMAN RIGHTS                                                                                        
Andhra Pradesh,Dr. Dinesh Kumar,1992,3,01AP030900,ADMN TRG INSTT NANITAL                                                                              
Andhra Pradesh,Dr. Dinesh Kumar,1993,2,01AP030900,MGT. DEVP.PROGM.                                                                                    
Andhra Pradesh,Dr. Dinesh Kumar,1995,1,01AP030900,MANGING ADVERSE ENVT                                                                                
Andhra Pradesh,Dr. Dinesh Kumar,1997,3,01AP030900,GOVERNANCE EMERGING                                                                                 
Andhra Pradesh,Dr. Dinesh Kumar,1999,1,01AP030900,"TERI,N.D INFRAST&DEREG                                                                              "
Andhra Pradesh,Dr. Dinesh Kumar,2000,19,01AP030900,PLG&IMPL OF INF.SYSTEM                                                                              
Andhra Pradesh,Dr. Dinesh Kumar,2000,1,01AP030900,WTO&TRADE REGIME                                                                                    
Andhra Pradesh,Dr. Dinesh Kumar,2002,1,01AP030900,ETHICAL ISSUES IN ADMN                                                                              
Andhra Pradesh,Dr. Dinesh Kumar,2002,1,01AP030900,INFRAST&DEREGULATION                                                                                
Andhra Pradesh,Dr. Dinesh Kumar,2004,1,01AP030900,MGT.STATE FINANCE                                                                                   
Andhra Pradesh,Shri Binoy Kumar,1991,3,01AP031000,ATI MYSORE                                                                                          
Andhra Pradesh,Shri Binoy Kumar,1994,3,01AP031000,LBSNAA MUSSOORIE                                                                                    
Andhra Pradesh,Shri Vinod Kumar Agrawal,2002,2,01AP031100,"LBSNAA,MUSSORI SER.TRG                                                                              "
Andhra Pradesh,Shri Bibhu Prasad Acharya,1992,3,01AP031200,ATI NAINITAL                                                                                        
Andhra Pradesh,Shri Bibhu Prasad Acharya,1998,2,01AP031200,"LBSNAA, MUSSOORIE                                                                                   "
Andhra Pradesh,Shri Bhanwar Lal,2002,2,01AP031300,"ASCI,HYD IN SERVICE TG                                                                              "
Andhra Pradesh,Shri Randeep Sudan,2000,1,01AP031400,"IIM,BANGLORE TRG PROG                                                                               "
