ID,Name,Service,Cadre,Allotment_Year,Date_of_Birth,Date_of_Joining,Source_of_Recruitment,Gender,Place_of_Domicile,Mother_Tongue,Languages_Known,Retired,Retirement_Reason,Source
KN004600,Shri Pr Dubhashi,Indian Administrative Services,Karnataka ,1953,07-03-1930,01-07-1953,Direct Recruitment,Male,Maharashtra,Marathi,French Kannada Sanskrit,FALSE,Superannuated,Supremo
OR004400,Shri Cg Somiah,Indian Administrative Services,Odisha ,1953,11-03-1931,01-07-1953,Direct Recruitment,Male,Karnataka,Kannada,English Hindi Oriya Tamil,FALSE,Retired after Extension/Re-Employment,Supremo
MH007900,Shri B K Chougule,Indian Administrative Services,Maharashtra ,1953,13-04-1930,01-07-1953,Direct Recruitment,Male,Maharashtra,Marathi,English Hindi Kannada Telugu,FALSE,Superannuated,Supremo
MH008000,Shri V T Chari,Indian Administrative Services,Maharashtra ,1953,22-07-1929,01-07-1953,Direct Recruitment,Male,Maharashtra,Tamil,English Hindi Marathi,FALSE,Retired after Extension/Re-Employment,Supremo
MP007400,Shri Sl Sharma,Indian Administrative Services,Madhya Pradesh ,1953,12-06-1929,01-07-1953,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Sanskrit,FALSE,Superannuated,Supremo
OR004500,Shri Li Parija,Indian Administrative Services,Odisha ,1953,01-11-1930,01-07-1953,Direct Recruitment,Male,Odisha,Oriya,Bengali English Hindi,FALSE,Retired voluntarily,Supremo
AP005900,Shri Gr Nair,Indian Administrative Services,Andhra Pradesh ,1954,14-05-1932,01-07-1954,Direct Recruitment,Male,Kerala,Telugu,English Hindi Malayalam,FALSE,Superannuated,Supremo
AP006000,Shri B K Rao,Indian Administrative Services,Andhra Pradesh ,1954,01-07-1931,01-07-1954,Direct Recruitment,Male,Andhra Pradesh,Telugu,English Hindi Sanskrit,FALSE,Superannuated,Supremo
AP006100,Shri Mg Krishnan,Indian Administrative Services,Andhra Pradesh ,1954,11-03-1932,01-07-1954,Direct Recruitment,Male,Andhra Pradesh,Tamil,English Hindi Telugu,FALSE,Superannuated,Supremo
AP006500,Shri Ka Ansari,Indian Administrative Services,Andhra Pradesh ,1954,27-07-1930,01-07-1954,Direct Recruitment,Male,Uttar Pradesh,Arabic,German Hindi Telugu,FALSE,Superannuated,Supremo
BH008800,Shri K Ramanujam,Indian Administrative Services,Bihar ,1954,15-09-1930,01-07-1954,Direct Recruitment,Male,Maharashtra,Tamil,English Hindi,FALSE,Superannuated,Supremo
BH008900,Shri Ishwari Prasad,Indian Administrative Services,Bihar ,1954,28-02-1930,01-07-1954,Direct Recruitment,Male,Bihar,Hindi,English,FALSE,Superannuated,Supremo
BH009000,Shri U Vaidyanathan,Indian Administrative Services,Bihar ,1954,18-02-1930,01-07-1954,Direct Recruitment,Male,Bihar,Tamil,English Hindi,FALSE,Superannuated,Supremo
BH009100,Shri S S Dhanoa,Indian Administrative Services,Bihar ,1954,12-08-1930,01-07-1954,Direct Recruitment,Male,Punjab,Punjabi,English Hindi Urdu,FALSE,Superannuated,Supremo
UT000400,Shri R M Agrawal,Indian Administrative Services,A G M U T ,1954,02-07-1930,01-07-1954,Direct Recruitment,Male,Uttar Pradesh,Hindi,English,FALSE,Superannuated,Supremo
HY002600,Shri Lc Gupta,Indian Administrative Services,Haryana ,1954,20-09-1930,01-07-1954,Direct Recruitment,Male,Haryana,Hindi,English Punjabi Urdu,FALSE,Superannuated,Supremo
KL002600,Shri V Ramachandran,Indian Administrative Services,Kerala ,1954,21-03-1931,01-07-1954,Direct Recruitment,Male,Tamil Nadu,Tamil,English Hindi Malayalam Sanskrit,FALSE,Superannuated,Supremo
KN004800,Shri Ab Datar,Indian Administrative Services,Karnataka ,1954,24-09-1931,01-07-1954,Direct Recruitment,Male,Karnataka,Kannada,French Hindi Italian Marathi,FALSE,Superannuated,Supremo
KN004900,Shri S Varadan,Indian Administrative Services,Karnataka ,1954,29-10-1930,01-07-1954,Direct Recruitment,Male,Karnataka,Tamil,Hindi Kannada Sanskrit Telugu,FALSE,Superannuated,Supremo
OR005500,Shri Js Baijal,Indian Administrative Services,Odisha ,1954,06-06-1931,01-07-1954,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Oriya,FALSE,Retired after Extension/Re-Employment,Supremo
MH008100,Shri A D Samant,Indian Administrative Services,Maharashtra ,1954,16-06-1931,01-07-1954,Direct Recruitment,Male,Maharashtra,Marathi,English Gujarati Hindi Sanskrit,FALSE,Retired voluntarily,Supremo
MH008300,Shri S Ramakrishna,Indian Administrative Services,Maharashtra ,1954,27-06-1931,01-07-1954,Direct Recruitment,Male,Maharashtra,Tamil,Hindi Kannada Malayalam Marathi,FALSE,Superannuated,Supremo
MH008400,Shri K K Uppal,Indian Administrative Services,Maharashtra ,1954,01-10-1931,01-07-1954,Direct Recruitment,Male,Delhi,Punjabi,Hindi Marathi Sanskrit Urdu,FALSE,Retired after Extension/Re-Employment,Supremo
MP007800,Shri B Swarup,Indian Administrative Services,Madhya Pradesh ,1954,21-02-1930,01-07-1954,Direct Recruitment,Male,Delhi,Hindi,English Urdu,FALSE,Superannuated,Supremo
MP007900,Shri Rn Chopra,Indian Administrative Services,Madhya Pradesh ,1954,04-09-1931,01-07-1954,Direct Recruitment,Male,Delhi,Punjabi,English Hindi,FALSE,Superannuated,Supremo
MP008000,Dr. Kcs Acharya,Indian Administrative Services,Madhya Pradesh ,1954,04-07-1930,01-07-1954,Direct Recruitment,Male,Madhya Pradesh,Hindi,Hindi,FALSE,Superannuated,Supremo
MP008100,Shri Ms Singh Deo,Indian Administrative Services,Madhya Pradesh ,1954,02-06-1930,01-07-1954,Direct Recruitment,Male,Madhya Pradesh,Hindi,English Hindi,FALSE,Superannuated,Supremo
OR005300,Shri C Venkataramani,Indian Administrative Services,Odisha ,1954,15-12-1930,01-07-1954,Direct Recruitment,Male,Tamil Nadu,Tamil,Hindi Oriya,FALSE,Superannuated,Supremo
OR005400,Shri Nk Panda,Indian Administrative Services,Odisha ,1954,13-05-1931,01-07-1954,Direct Recruitment,Male,Odisha,Oriya,English Hindi,FALSE,Superannuated,Supremo
OR005600,Shri P S H Mohamed,Indian Administrative Services,Odisha ,1954,16-11-1930,01-07-1954,Direct Recruitment,Male,Kerala,Malayalam,English French Oriya Tamil,FALSE,Retired after Extension/Re-Employment,Supremo
PB002600,Shri P K Kathpalia,Indian Administrative Services,Punjab ,1954,08-12-1930,01-07-1954,Direct Recruitment,Male,Punjab,Punjabi,English Hindi Urdu,FALSE,Retired voluntarily,Supremo
RJ005900,Shri Mohan Lal Anand,Indian Administrative Services,Rajasthan ,1954,24-02-1931,01-07-1954,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Urdu,FALSE,Superannuated,Supremo
AP006700,Shri K Subramanyam,Indian Administrative Services,Andhra Pradesh ,1955,20-04-1932,01-07-1955,Direct Recruitment,Male,Andhra Pradesh,Tamil,English Hindi Kannada Telugu,FALSE,Retired voluntarily,Supremo
AP006800,Shri V K Dar,Indian Administrative Services,Andhra Pradesh ,1955,24-06-1931,01-07-1955,Direct Recruitment,Male,Delhi,Urdu,English Hindi,FALSE,Retired voluntarily,Supremo
AP006900,Shri V P Ramarao,Indian Administrative Services,Andhra Pradesh ,1955,27-04-1933,01-07-1955,Direct Recruitment,Male,Andhra Pradesh,Telugu,English Hindi,FALSE,Superannuated,Supremo
AP007000,Shri Spb Subramanian,Indian Administrative Services,Andhra Pradesh ,1955,08-08-1931,01-07-1955,Direct Recruitment,Male,Tamil Nadu,Tamil,English Hindi Telugu,FALSE,Superannuated,Supremo
AP007100,Shri Kvss Narayana,Indian Administrative Services,Andhra Pradesh ,1955,15-07-1932,01-07-1955,Direct Recruitment,Male,Andhra Pradesh,Telugu,English Hindi,FALSE,Superannuated,Supremo
AP007200,Shri D S Guruswamy,Indian Administrative Services,Andhra Pradesh ,1955,01-10-1932,01-07-1955,Direct Recruitment,Male,Tamil Nadu,Tamil,English Hindi Telugu,FALSE,Superannuated,Supremo
AP007400,Shri Narendra Luther,Indian Administrative Services,Andhra Pradesh ,1955,23-03-1933,01-07-1955,Direct Recruitment,Male,Punjab,Punjabi,Hindi Urdu,FALSE,Superannuated,Supremo
BH009500,Shri Ps Kohli,Indian Administrative Services,Bihar ,1955,01-11-1930,01-07-1955,Direct Recruitment,Male,N.A.,Punjabi,Bengali English Hindi Urdu,FALSE,Superannuated,Supremo
BH009600,Shri R Srinivasan,Indian Administrative Services,Bihar ,1955,25-12-1932,01-07-1955,Direct Recruitment,Male,Tamil Nadu,Tamil,English Hindi,FALSE,Superannuated,Supremo
BH009800,Shri Ss Sharan,Indian Administrative Services,Bihar ,1955,07-08-1931,01-07-1955,Direct Recruitment,Male,Bihar,Hindi,English,FALSE,Superannuated,Supremo
BH009900,Shri Vv Nathan,Indian Administrative Services,Bihar ,1955,14-02-1931,01-07-1955,Direct Recruitment,Male,Tamil Nadu,Tamil,English French Hindi,FALSE,Superannuated,Supremo
GJ004100,Shri Rv Chandramaoul,Indian Administrative Services,Gujarat ,1955,24-09-1932,01-07-1955,Direct Recruitment,Male,Maharashtra,Tamil,English Gujarati Hindi,FALSE,Superannuated,Supremo
GJ004200,Ms. S L Singla,Indian Administrative Services,Gujarat ,1955,07-04-1932,01-07-1955,Direct Recruitment,Female,Delhi,Punjabi,English Hindi,FALSE,Superannuated,Supremo
UT000600,Shri K Banerji,Indian Administrative Services,A G M U T ,1955,15-11-1927,01-07-1955,Initial Constitution,Male,Uttar Pradesh,N.A.,N.A.,FALSE,Retired after Extension/Re-Employment,Supremo
KL002900,Shri S Narayanaswamy,Indian Administrative Services,Kerala ,1955,24-10-1932,01-07-1955,Direct Recruitment,Male,Kerala,Malayalam,Hindi Tamil,FALSE,Superannuated,Supremo
KN005300,Shri Ksn Murthy,Indian Administrative Services,Karnataka ,1955,06-05-1932,01-07-1955,Direct Recruitment,Male,Karnataka,Telugu,English German Hindi Kannada,FALSE,Superannuated,Supremo
AM003800,Shri J C Nampui,Indian Administrative Services,Assam Meghalya ,1955,01-08-1928,01-07-1955,Direct Recruitment,Male,Assam,English,Hindi,FALSE,Retired after Extension/Re-Employment,Supremo
OR006000,Shri Tu V Sekharan,Indian Administrative Services,Odisha ,1955,13-02-1933,01-07-1955,Direct Recruitment,Male,Kerala,Malayalam,English Hindi Oriya Tamil,FALSE,Retired voluntarily,Supremo
MH008900,Shri K S R Krishnan,Indian Administrative Services,Maharashtra ,1955,29-05-1933,01-07-1955,Direct Recruitment,Male,Tamil Nadu,Tamil,English Hindi Malayalam Marathi,FALSE,Retired voluntarily,Supremo
MH009100,Shri John Innocent,Indian Administrative Services,Maharashtra ,1955,03-06-1933,01-07-1955,Direct Recruitment,Male,Maharashtra,Malayalam,English French Hindi Marathi,FALSE,Superannuated,Supremo
MH009300,Shri Kg Paranjpe,Indian Administrative Services,Maharashtra ,1955,17-09-1930,01-07-1955,Direct Recruitment,Male,Maharashtra,Marathi,English Gujarati Hindi,FALSE,Superannuated,Supremo
MP008800,Shri S C Vaish,Indian Administrative Services,Madhya Pradesh ,1955,28-02-1933,01-07-1955,Direct Recruitment,Male,Uttar Pradesh,Hindi,English French,FALSE,Superannuated,Supremo
MP008900,Shri Mk Chaturvedi,Indian Administrative Services,Madhya Pradesh ,1955,25-07-1931,01-07-1955,Direct Recruitment,Male,Uttar Pradesh,Hindi,English French Sanskrit Urdu,FALSE,Superannuated,Supremo
MP009000,Shri Rs Khanna,Indian Administrative Services,Madhya Pradesh ,1955,04-11-1931,01-07-1955,Direct Recruitment,Male,Delhi,Hindi,English Hindi,FALSE,Retired after Extension/Re-Employment,Supremo
MP009100,Shri Nv Krishnan,Indian Administrative Services,Madhya Pradesh ,1955,10-02-1931,01-07-1955,Direct Recruitment,Male,Kerala,Tamil,English Hindi Malayalam,FALSE,Retired voluntarily,Supremo
MP009300,Shri J Swarup,Indian Administrative Services,Madhya Pradesh ,1955,15-06-1931,01-07-1955,Direct Recruitment,Male,Uttar Pradesh,Hindi,English French German Urdu,FALSE,Superannuated,Supremo
OR006200,Shri K Srinivasan,Indian Administrative Services,Odisha ,1955,02-07-1931,01-07-1955,Direct Recruitment,Male,Tamil Nadu,Tamil,English German Hindi Oriya,FALSE,Superannuated,Supremo
RJ006000,Shri Al Roongta,Indian Administrative Services,Rajasthan ,1955,15-03-1933,01-07-1955,Direct Recruitment,Male,Rajasthan,Hindi,English,FALSE,Superannuated,Supremo
RJ006100,Shri Rk Saxena,Indian Administrative Services,Rajasthan ,1955,24-12-1932,01-07-1955,Direct Recruitment,Male,Uttar Pradesh,Hindi,English,FALSE,Superannuated,Supremo
RJ006200,Shri Vc Pande,Indian Administrative Services,Rajasthan ,1955,16-02-1932,01-07-1955,Direct Recruitment,Male,Uttar Pradesh,Hindi,English,FALSE,Retired after Extension/Re-Employment,Supremo
AM004000,Shri R V Lyngdoh,Indian Administrative Services,Assam Meghalya ,1956,22-03-1933,01-07-1956,Direct Recruitment,Male,Meghalaya,English,Assamese Bengali Hindi,FALSE,Superannuated,Supremo
AP008300,Shri P K Doraiswamy,Indian Administrative Services,Andhra Pradesh ,1956,17-02-1933,03-07-1956,Direct Recruitment,Male,Tamil Nadu,Tamil,English Hindi Malayalam Telugu,FALSE,Superannuated,Supremo
AP008400,Shri K V Natarajan,Indian Administrative Services,Andhra Pradesh ,1956,30-11-1933,01-07-1956,Direct Recruitment,Male,Tamil Nadu,Tamil,English Hindi Spanish Telugu,FALSE,Retired after Extension/Re-Employment,Supremo
AP008500,Shri C S Sastry,Indian Administrative Services,Andhra Pradesh ,1956,23-12-1931,01-07-1956,Direct Recruitment,Male,Andhra Pradesh,Telugu,German,FALSE,Superannuated,Supremo
AP008800,Shri T Balakrishnan,Indian Administrative Services,Andhra Pradesh ,1956,01-12-1933,01-07-1956,Direct Recruitment,Male,Tamil Nadu,Telugu,English Hindi Tamil,FALSE,Retired voluntarily,Supremo
AP008900,Shri Ajit Singh,Indian Administrative Services,Andhra Pradesh ,1956,01-05-1932,01-07-1956,Direct Recruitment,Male,Punjab,Punjabi,French Hindi Telugu Urdu,FALSE,Superannuated,Supremo
BH010400,Shri Arun Prasad,Indian Administrative Services,Bihar ,1956,20-02-1934,01-07-1956,Direct Recruitment,Male,Bihar,Hindi,Bengali English French,FALSE,Superannuated,Supremo
GJ005000,Shri H K Khan,Indian Administrative Services,Gujarat ,1956,15-08-1933,01-07-1956,Direct Recruitment,Male,Maharashtra,Urdu,English French Gujarati Hindi,FALSE,Retired after Extension/Re-Employment,Supremo
GJ005100,Shri H R Patankar,Indian Administrative Services,Gujarat ,1956,29-07-1932,01-07-1956,Direct Recruitment,Male,Gujarat,Gujarati,English Hindi Marathi Sindhi,FALSE,Retired voluntarily,Supremo
KL003200,Ms. P Ramachandran,Indian Administrative Services,Kerala ,1956,03-07-1934,01-07-1956,Direct Recruitment,Female,Tamil Nadu,Tamil,English Hindi Malayalam,FALSE,Superannuated,Supremo
KN005800,Shri Nkp Rao,Indian Administrative Services,Karnataka ,1956,29-10-1933,01-07-1956,Direct Recruitment,Male,Karnataka,Kannada,English Hindi Tamil,FALSE,Superannuated,Supremo
AP008600,Shri P S Krishnan,Indian Administrative Services,Andhra Pradesh ,1956,30-12-1932,01-07-1956,Direct Recruitment,Male,Kerala,Malayalam,Bengali Sanskrit Tamil Telugu,FALSE,Retired after Extension/Re-Employment,Supremo
HY003500,Shri Sk Misra,Indian Administrative Services,Haryana ,1956,28-04-1933,01-07-1956,Direct Recruitment,Male,Uttar Pradesh,Hindi,English,FALSE,Retired after Extension/Re-Employment,Supremo
KL003300,Shri Pk Umashankar,Indian Administrative Services,Kerala ,1956,23-08-1932,01-07-1956,Direct Recruitment,Male,Kerala,Malayalam,English Hindi Sanskrit Tamil,FALSE,Retired after Extension/Re-Employment,Supremo
MH009900,Shri Jg Kanga,Indian Administrative Services,Maharashtra ,1956,28-08-1931,01-07-1956,Direct Recruitment,Male,Maharashtra,Gujarati,English Hindi Marathi,FALSE,Retired after Extension/Re-Employment,Supremo
MP009900,Shri An Varma,Indian Administrative Services,Madhya Pradesh ,1956,18-10-1933,01-07-1956,Direct Recruitment,Male,Uttar Pradesh,Hindi,English,FALSE,Retired after Extension/Re-Employment,Supremo
PB003700,Shri P H Vaishnav,Indian Administrative Services,Punjab ,1956,22-12-1932,01-07-1956,Direct Recruitment,Male,Gujarat,Bengali,English Hindi Marathi Punjabi,FALSE,Retired after Extension/Re-Employment,Supremo
RJ006800,Shri Naresh Chandra,Indian Administrative Services,Rajasthan ,1956,01-08-1934,01-07-1956,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Urdu,FALSE,Retired after Extension/Re-Employment,Supremo
MH009500,Shri Dm Sukthankar,Indian Administrative Services,Maharashtra ,1956,21-02-1932,01-07-1956,Direct Recruitment,Male,Maharashtra,Marathi,English Gujarati Hindi,FALSE,Retired after Extension/Re-Employment,Supremo
MH009600,Shri Ss Tinaikar,Indian Administrative Services,Maharashtra ,1956,03-04-1932,01-07-1956,Direct Recruitment,Male,Karnataka,Marathi,English Gujarati Hindi,FALSE,Superannuated,Supremo
MH009700,Shri Pv Nayak,Indian Administrative Services,Maharashtra ,1956,11-05-1933,01-07-1956,Direct Recruitment,Male,Maharashtra,Marathi,English Hindi Kannada Sanskrit,FALSE,Superannuated,Supremo
MH009800,Shri Kb Srinivasan,Indian Administrative Services,Maharashtra ,1956,04-06-1933,01-07-1956,Direct Recruitment,Male,Maharashtra,Tamil,English Marathi Sanskrit,FALSE,Retired after Extension/Re-Employment,Supremo
MP010000,Shri Rp Kapoor,Indian Administrative Services,Madhya Pradesh ,1956,01-04-1933,01-07-1956,Direct Recruitment,Male,Haryana,Hindi,English Punjabi Urdu,FALSE,Retired after Extension/Re-Employment,Supremo
MP010100,Shri Rk Tikku,Indian Administrative Services,Madhya Pradesh ,1956,07-04-1934,01-07-1956,Direct Recruitment,Male,Uttar Pradesh,Hindi,English,FALSE,Superannuated,Supremo
MP010400,Dr. Iswar Das,Indian Administrative Services,Madhya Pradesh ,1956,05-01-1933,01-07-1956,Direct Recruitment,Male,Himachal Pradesh,Hindi,English Punjabi Urdu,FALSE,Superannuated,Supremo
MP010600,Shri Bj Heerjee,Indian Administrative Services,Madhya Pradesh ,1956,10-12-1933,01-07-1956,Direct Recruitment,Male,Kerala,Gujarati,Hindi Malayalam,FALSE,Retired after Extension/Re-Employment,Supremo
MP010700,Shri Suresh Mathur,Indian Administrative Services,Madhya Pradesh ,1956,26-12-1933,01-07-1956,Direct Recruitment,Male,Delhi,Urdu,Hindi Urdu,FALSE,Superannuated,Supremo
MP010800,Shri Pn Abbi,Indian Administrative Services,Madhya Pradesh ,1956,14-08-1932,01-07-1956,Direct Recruitment,Male,Madhya Pradesh,Hindi,English Punjabi Urdu,FALSE,Superannuated,Supremo
OR006600,Shri Bhupinder Singh,Indian Administrative Services,Odisha ,1956,23-01-1931,01-07-1956,Direct Recruitment,Male,Delhi,Punjabi,Bengali French Tamil Urdu,FALSE,Superannuated,Supremo
PB003600,Shri K D Vasudeva,Indian Administrative Services,Punjab ,1956,28-12-1931,01-07-1956,Direct Recruitment,Male,Punjab,Punjabi,Hindi Urdu,FALSE,Superannuated,Supremo
RJ006900,Shri Vbl Mathur,Indian Administrative Services,Rajasthan ,1956,24-01-1934,01-07-1956,Direct Recruitment,Male,Delhi,Hindi,English,FALSE,Superannuated,Supremo
RJ007000,Shri Tej Kumar,Indian Administrative Services,Rajasthan ,1956,09-07-1933,01-07-1956,Direct Recruitment,Male,Punjab,Hindi,English German Punjabi,FALSE,Superannuated,Supremo
RJ007100,Shri Hs Ramani,Indian Administrative Services,Rajasthan ,1956,17-02-1933,01-07-1956,Direct Recruitment,Male,Tamil Nadu,Tamil,English Hindi Sanskrit,FALSE,Superannuated,Supremo
AP009300,Shri Sr Sankaran,Indian Administrative Services,Andhra Pradesh ,1957,22-10-1934,01-07-1957,Direct Recruitment,Male,Tamil Nadu,Tamil,English Hindi Sanskrit Telugu,FALSE,Superannuated,Supremo
AP009400,Shri Tl Shankar,Indian Administrative Services,Andhra Pradesh ,1957,21-03-1934,01-07-1957,Direct Recruitment,Male,N.A.,Tamil,English Hindi Telugu,FALSE,Superannuated,Supremo
AP009500,Shri Diljeet Aurora,Indian Administrative Services,Andhra Pradesh ,1957,12-12-1934,01-07-1957,Direct Recruitment,Male,Delhi,Punjabi,English Hindi Telugu Urdu,FALSE,Retired after Extension/Re-Employment,Supremo
AP009600,Shri S Bhandarkar,Indian Administrative Services,Andhra Pradesh ,1957,25-07-1933,01-07-1957,Direct Recruitment,Male,Maharashtra,Hindi,English Marathi Telugu,FALSE,Retired voluntarily,Supremo
AP009700,Shri Sushil Kumar,Indian Administrative Services,Andhra Pradesh ,1957,04-05-1933,01-07-1957,Direct Recruitment,Male,Delhi,Urdu,English Hindi Telugu,FALSE,Superannuated,Supremo
AP009800,Shri Ramesh Grover,Indian Administrative Services,Andhra Pradesh ,1957,23-01-1933,01-07-1957,Direct Recruitment,Male,Delhi,Urdu,English French Hindi,FALSE,Superannuated,Supremo
AP009900,Shri P Sitapati,Indian Administrative Services,Andhra Pradesh ,1957,07-01-1933,01-07-1957,Direct Recruitment,Male,Andhra Pradesh,Telugu,English French Hindi Tamil,FALSE,Superannuated,Supremo
BH011400,Shri A U Sarma,Indian Administrative Services,Bihar ,1957,20-12-1934,01-07-1957,Direct Recruitment,Male,Andhra Pradesh,Telugu,English French German Tamil,FALSE,Superannuated,Supremo
BH011600,Shri R C Arora,Indian Administrative Services,Bihar ,1957,27-09-1933,01-07-1957,Direct Recruitment,Male,Punjab,Punjabi,English Hindi Urdu,FALSE,Superannuated,Supremo
BH011700,Shri Sn Saigal,Indian Administrative Services,Bihar ,1957,03-02-1934,01-07-1957,Direct Recruitment,Male,Delhi,Punjabi,French Hindi Sanskrit Urdu,FALSE,Retired voluntarily,Supremo
BH011800,Shri K Prasad,Indian Administrative Services,Bihar ,1957,17-01-1933,01-07-1957,Direct Recruitment,Male,Bihar,Hindi,English,FALSE,Retired after Extension/Re-Employment,Supremo
BH011900,Shri S P Shukla,Indian Administrative Services,Bihar ,1957,01-03-1934,01-07-1957,Direct Recruitment,Male,Maharashtra,Marathi,English Hindi Sanskrit,FALSE,Superannuated,Supremo
BH012000,Shri Suresh Kumar,Indian Administrative Services,Bihar ,1957,21-06-1935,01-07-1957,Direct Recruitment,Male,Uttar Pradesh,Hindi,English German,FALSE,Superannuated,Supremo
BH012200,Shri G S Grewal,Indian Administrative Services,Bihar ,1957,13-06-1933,01-07-1957,Direct Recruitment,Male,Punjab,Punjabi,Bengali Hindi Urdu,FALSE,Superannuated,Supremo
GJ006100,Shri B T Trivedi,Indian Administrative Services,Gujarat ,1957,12-12-1932,01-07-1957,Direct Recruitment,Male,Gujarat,Gujarati,English Hindi Marathi,FALSE,Superannuated,Supremo
HP000900,Shri Pk Mattoo,Indian Administrative Services,Himachal Pradesh ,1957,27-09-1929,01-07-1957,Direct Recruitment,Male,Jammu & Kashmir,Kashmiri,English Hindi Urdu,FALSE,Retired voluntarily,Supremo
KL003600,Shri Pm Abraham,Indian Administrative Services,Kerala ,1957,14-09-1934,01-07-1957,Direct Recruitment,Male,Kerala,Malayalam,English Hindi Tamil,FALSE,Superannuated,Supremo
KL003700,Shri Mgk Nair,Indian Administrative Services,Kerala ,1957,25-09-1932,01-07-1957,Direct Recruitment,Male,Kerala,Malayalam,English Hindi Tamil,FALSE,Expired,Supremo
KL003900,Shri N Kaleeswaran,Indian Administrative Services,Kerala ,1957,01-01-1933,01-07-1957,Direct Recruitment,Male,Tamil Nadu,Tamil,English Malayalam,FALSE,Superannuated,Supremo
KL004100,Shri Zacharia Mathew,Indian Administrative Services,Kerala ,1957,15-04-1934,01-07-1957,Direct Recruitment,Male,Kerala,Malayalam,English,FALSE,Superannuated,Supremo
