ID,Name,Service,Cadre,Reference_Value,Qualification,Subject,Division,Source
UP025800,Shri Sk Tripathi,Indian Administrative Service,Uttar Pradesh,2,P.G.,Physics,First,Supremo
UP026000,Shri Ravindra Gupta,Indian Administrative Service,Uttar Pradesh,0,Certificate,French,First,Supremo
UP026000,Shri Ravindra Gupta,Indian Administrative Service,Uttar Pradesh,2,Diploma,Air&space Law,First,Supremo
UP026000,Shri Ravindra Gupta,Indian Administrative Service,Uttar Pradesh,4,Graduate,Physics,First,Supremo
UP026000,Shri Ravindra Gupta,Indian Administrative Service,Uttar Pradesh,6,P.G.,Mathematics,First,Supremo
UP026100,Shri Ap Varma,Indian Administrative Service,Uttar Pradesh,0,Graduate,Economics,Second,Supremo
UP026100,Shri Ap Varma,Indian Administrative Service,Uttar Pradesh,2,P.G.,Economics,First,Supremo
UP026200,Shri Devi Dayal,Indian Administrative Service,Uttar Pradesh,0,Graduate,English Lit,Second,Supremo
UP026200,Shri Devi Dayal,Indian Administrative Service,Uttar Pradesh,2,Graduate,Law,Second,Supremo
UP026200,Shri Devi Dayal,Indian Administrative Service,Uttar Pradesh,4,P.G.,Philosophy,Second,Supremo
UP026300,Shri Mohinder Singh,Indian Administrative Service,Uttar Pradesh,0,Graduate,Economics,Third,Supremo
UP026300,Shri Mohinder Singh,Indian Administrative Service,Uttar Pradesh,2,Graduate,Law,Second,Supremo
UP026300,Shri Mohinder Singh,Indian Administrative Service,Uttar Pradesh,4,P.G.,Business Admn.,Ordinary,Supremo
UP026300,Shri Mohinder Singh,Indian Administrative Service,Uttar Pradesh,6,P.G.,Political Sc.,Second,Supremo
UP026301,Dr. Bhure Lal,Indian Administrative Service,Uttar Pradesh,0,Graduate,Economics,Second,Supremo
UP026301,Dr. Bhure Lal,Indian Administrative Service,Uttar Pradesh,2,Graduate,Law,First,Supremo
UP026301,Dr. Bhure Lal,Indian Administrative Service,Uttar Pradesh,4,P.G.,Economics,Second,Supremo
UP026301,Dr. Bhure Lal,Indian Administrative Service,Uttar Pradesh,6,Ph. D.,Public Admn,Ordinary,Supremo
UT004100,Shri R Badrinath,Indian Administrative Service,A G M U T,0,Certificate,German,First,Supremo
UT004100,Shri R Badrinath,Indian Administrative Service,A G M U T,2,Graduate,Physics,First,Supremo
UT004100,Shri R Badrinath,Indian Administrative Service,A G M U T,4,P.G.,Physics,First,Supremo
UT004200,Shri Ks Baidwan,Indian Administrative Service,A G M U T,0,Graduate,English,First,Supremo
UT004300,Shri Sewaram Sharma,Indian Administrative Service,A G M U T,0,Graduate,English,First,Supremo
UT004300,Shri Sewaram Sharma,Indian Administrative Service,A G M U T,2,P.G.,English,Second,Supremo
UT004400,Shri Ashok Nath,Indian Administrative Service,A G M U T,0,Graduate,History,Second,Supremo
UT004400,Shri Ashok Nath,Indian Administrative Service,A G M U T,2,Graduate,Law,Second,Supremo
UT004400,Shri Ashok Nath,Indian Administrative Service,A G M U T,4,P.G.,Economics,Ordinary,Supremo
UT004500,Shri Rd Kapur,Indian Administrative Service,A G M U T,0,Graduate,History,Second,Supremo
UT004500,Shri Rd Kapur,Indian Administrative Service,A G M U T,2,P.G.,History,First,Supremo
UT004500,Shri Rd Kapur,Indian Administrative Service,A G M U T,4,P.G.,Public Admn,-,Supremo
UT004600,Shri Jagdish Sagar,Indian Administrative Service,A G M U T,0,Graduate,History,Third,Supremo
UT004600,Shri Jagdish Sagar,Indian Administrative Service,A G M U T,2,P.G.,History,Second,Supremo
UT004700,Shri Ramesh Chandra,Indian Administrative Service,A G M U T,0,Diploma,French,Second,Supremo
UT004700,Shri Ramesh Chandra,Indian Administrative Service,A G M U T,2,Diploma,Russian,First,Supremo
UT004700,Shri Ramesh Chandra,Indian Administrative Service,A G M U T,4,Graduate,Physics,First,Supremo
UT004700,Shri Ramesh Chandra,Indian Administrative Service,A G M U T,6,P.G.,Mathematics,First,Supremo
UT004800,Shri Sr Arya,Indian Administrative Service,A G M U T,0,Graduate,English,Second,Supremo
UT004800,Shri Sr Arya,Indian Administrative Service,A G M U T,2,Graduate,Law,Second,Supremo
UT004800,Shri Sr Arya,Indian Administrative Service,A G M U T,4,P.G.,Political Sc.,Second,Supremo
UT004900,Ms. Shailaja Chandra,Indian Administrative Service,A G M U T,0,Graduate,English,Second,Supremo
UT004900,Ms. Shailaja Chandra,Indian Administrative Service,A G M U T,2,P.G.,Economics,Ordinary,Supremo
GJ012300,Dr. A W Paul David,Indian Administrative Service,Gujarat,0,Graduate,Mathematics,First,Supremo
GJ012300,Dr. A W Paul David,Indian Administrative Service,Gujarat,2,P.G.,Economic Dev.,Ordinary,Supremo
GJ012300,Dr. A W Paul David,Indian Administrative Service,Gujarat,4,P.G.,Mathematics,First,Supremo
GJ012300,Dr. A W Paul David,Indian Administrative Service,Gujarat,6,Ph. D.,Commerce,Ordinary,Supremo
GJ012400,Shri A K Pradhan,Indian Administrative Service,Gujarat,0,Graduate,Civil Engg,First,Supremo
GJ012400,Shri A K Pradhan,Indian Administrative Service,Gujarat,2,Graduate,Physics,Second,Supremo
GJ012400,Shri A K Pradhan,Indian Administrative Service,Gujarat,4,M.B.A.,Business Admn.,Ordinary,Supremo
GJ012900,Shri Tca Rangadurai,Indian Administrative Service,Gujarat,0,Graduate,Economics,Second,Supremo
GJ012900,Shri Tca Rangadurai,Indian Administrative Service,Gujarat,2,P.G.,Economics,Second,Supremo
GJ012900,Shri Tca Rangadurai,Indian Administrative Service,Gujarat,4,P.G.,Social Planning,Ordinary,Supremo
GJ013000,Shri Ashok Narayan,Indian Administrative Service,Gujarat,0,Graduate,Physics,First,Supremo
GJ013000,Shri Ashok Narayan,Indian Administrative Service,Gujarat,2,P.G.,Mathematics,First,Supremo
GJ013000,Shri Ashok Narayan,Indian Administrative Service,Gujarat,4,P.G.,Physics,First,Supremo
GJ013200,Shri A R Banerjee,Indian Administrative Service,Gujarat,0,Graduate,Economics,Second,Supremo
GJ013200,Shri A R Banerjee,Indian Administrative Service,Gujarat,2,P.G.,Economics,Second,Supremo
GJ013300,Shri A K Muthally,Indian Administrative Service,Gujarat,0,Graduate,English,Second,Supremo
GJ013300,Shri A K Muthally,Indian Administrative Service,Gujarat,2,P.G.,English,Second,Supremo
GJ013400,Shri K C Mohapatra,Indian Administrative Service,Gujarat,0,Graduate,Physics,First,Supremo
GJ013400,Shri K C Mohapatra,Indian Administrative Service,Gujarat,2,P.G.,Physics,First,Supremo
GJ013600,Shri S C Halder,Indian Administrative Service,Gujarat,0,Graduate,Commerce,Second,Supremo
GJ013600,Shri S C Halder,Indian Administrative Service,Gujarat,2,P.G.,Commerce,Second,Supremo
GJ013700,Shri Suresh Kumar,Indian Administrative Service,Gujarat,0,Graduate,Physics,Second,Supremo
GJ013700,Shri Suresh Kumar,Indian Administrative Service,Gujarat,2,P.G.,Mathematics,First,Supremo
GJ013700,Shri Suresh Kumar,Indian Administrative Service,Gujarat,4,P.G.,Technology,Ordinary,Supremo
GJ013900,Shri T Challam,Indian Administrative Service,Gujarat,0,P.G.,Philosophy,Second,Supremo
HP003800,Shri Ak Goswami,Indian Administrative Service,Himachal Pradesh,0,Graduate,Mech.engg.,First,Supremo
HY007000,Shri Lm Goyal,Indian Administrative Service,Haryana,0,Graduate,Physics,First,Supremo
HY007000,Shri Lm Goyal,Indian Administrative Service,Haryana,2,P.G.,Mathematics,First,Supremo
HY007100,Shri Pratap Singh,Indian Administrative Service,Haryana,0,Graduate,English,Second,Supremo
HY007100,Shri Pratap Singh,Indian Administrative Service,Haryana,2,Graduate,Law,Second,Supremo
HY007201,Shri Pr Kaushik,Indian Administrative Service,Haryana,0,Graduate,Economics,Third,Supremo
HY007201,Shri Pr Kaushik,Indian Administrative Service,Haryana,2,P.G.,Social Work,Second,Supremo
JH018000,Shri Vs Dubey,Indian Administrative Service,Jharkhand,0,Graduate,English Lit,Second,Supremo
JH018000,Shri Vs Dubey,Indian Administrative Service,Jharkhand,2,P.G.,History,First,Supremo
JH018403,Shri P S Cheema,Indian Administrative Service,Jharkhand,0,Graduate,English,Second,Supremo
JH021510,Shri Mithilesh Kumar,Indian Administrative Service,Jharkhand,0,Certificate,Mining.Engg.,First,Supremo
JH021510,Shri Mithilesh Kumar,Indian Administrative Service,Jharkhand,2,Graduate,Mining.Engg.,First,Supremo
JH021510,Shri Mithilesh Kumar,Indian Administrative Service,Jharkhand,4,LL.B.,Law,First,Supremo
JH021510,Shri Mithilesh Kumar,Indian Administrative Service,Jharkhand,6,P.G.,Business Admn.,Ordinary,Supremo
JK002000,Shri Moti Lal Kaul,Indian Administrative Service,Jammu & Kashmir,0,Graduate,Botany,Third,Supremo
JK002000,Shri Moti Lal Kaul,Indian Administrative Service,Jammu & Kashmir,2,Graduate,Political Sc.,Second,Supremo
JK002000,Shri Moti Lal Kaul,Indian Administrative Service,Jammu & Kashmir,4,P.G.,Political Sc.,Second,Supremo
JK002100,Shri Mu Rahman,Indian Administrative Service,Jammu & Kashmir,0,Diploma,Social Sciences,First,Supremo
JK002100,Shri Mu Rahman,Indian Administrative Service,Jammu & Kashmir,2,Graduate,English Lit,Second,Supremo
JK002100,Shri Mu Rahman,Indian Administrative Service,Jammu & Kashmir,4,Graduate,Law,Second,Supremo
JK002100,Shri Mu Rahman,Indian Administrative Service,Jammu & Kashmir,6,P.G.,Persian,First,Supremo
JK002101,Shri Is Malhi,Indian Administrative Service,Jammu & Kashmir,0,Graduate,English,First,Supremo
KL007200,Shri V Krishnamurthy,Indian Administrative Service,Kerala,0,Graduate,Electrical Engg.,First,Supremo
KL007300,Shri K Uppiliappan,Indian Administrative Service,Kerala,0,Certificate,Hindi,Ordinary,Supremo
KL007300,Shri K Uppiliappan,Indian Administrative Service,Kerala,2,Graduate,Chemistry,Second,Supremo
KL007300,Shri K Uppiliappan,Indian Administrative Service,Kerala,4,P.G.,Chemistry,Second,Supremo
KL007400,Shri Rp Singh,Indian Administrative Service,Kerala,0,Graduate,Physics,First,Supremo
KL007400,Shri Rp Singh,Indian Administrative Service,Kerala,2,P.G.,Physics,First,Supremo
KL007401,Ms. J Lalithambika,Indian Administrative Service,Kerala,0,Graduate,Botany,Second,Supremo
KL007401,Ms. J Lalithambika,Indian Administrative Service,Kerala,2,P.G.,English Lit,Third,Supremo
KN009400,Shri N Viswanathan,Indian Administrative Service,Karnataka,0,Graduate,Commerce,Second,Supremo
KN009400,Shri N Viswanathan,Indian Administrative Service,Karnataka,2,P.G.,Commerce,First,Supremo
KN009600,Shri K V Irniraya,Indian Administrative Service,Karnataka,0,Diploma,Law,Second,Supremo
KN009600,Shri K V Irniraya,Indian Administrative Service,Karnataka,2,Graduate,Chemistry,Second,Supremo
KN009600,Shri K V Irniraya,Indian Administrative Service,Karnataka,4,Graduate,Law,Second,Supremo
KN009600,Shri K V Irniraya,Indian Administrative Service,Karnataka,6,P.G.,Law,First,Supremo
KN009700,Shri P Mathai,Indian Administrative Service,Karnataka,0,Graduate,History,Second,Supremo
KN009700,Shri P Mathai,Indian Administrative Service,Karnataka,2,P.G.,History,First,Supremo
KN009800,Shri M B Prakash,Indian Administrative Service,Karnataka,0,Graduate,Geology,Second,Supremo
KN009800,Shri M B Prakash,Indian Administrative Service,Karnataka,2,P.G.,Geology,Second,Supremo
KN009900,Shri R Shankarappa,Indian Administrative Service,Karnataka,0,Graduate,Economics,Third,Supremo
KN009900,Shri R Shankarappa,Indian Administrative Service,Karnataka,2,P.G.,Economics,Third,Supremo
KN010000,Shri C Gopal Reddy,Indian Administrative Service,Karnataka,0,Graduate,History,Second,Supremo
KN010000,Shri C Gopal Reddy,Indian Administrative Service,Karnataka,2,P.G.,Economics,First,Supremo
KN010001,Shri Bs Patil,Indian Administrative Service,Karnataka,0,Graduate,English,Second,Supremo
WB014700,Shri Ss Chattopadhyay,Indian Administrative Service,West Bengal,0,Diploma,Trade,Ordinary,Supremo
WB014700,Shri Ss Chattopadhyay,Indian Administrative Service,West Bengal,2,Graduate,Economics,First,Supremo
WB014800,Shri Sn Roy,Indian Administrative Service,West Bengal,0,Graduate,History,First,Supremo
WB014800,Shri Sn Roy,Indian Administrative Service,West Bengal,2,P.G.,History,First,Supremo
WB015000,Shri Ajoy Sinha,Indian Administrative Service,West Bengal,0,Graduate,Economics,First,Supremo
WB015000,Shri Ajoy Sinha,Indian Administrative Service,West Bengal,2,P.G.,Economics,First,Supremo
WB015100,Shri Hirak Ghosh,Indian Administrative Service,West Bengal,0,Diploma,Public Admn,First,Supremo
WB015100,Shri Hirak Ghosh,Indian Administrative Service,West Bengal,2,Graduate,Physics,Second,Supremo
WB015100,Shri Hirak Ghosh,Indian Administrative Service,West Bengal,4,P.G.,Physics,Second,Supremo
WB015200,Shri Jr Saha,Indian Administrative Service,West Bengal,0,Graduate,History,Second,Supremo
WB015200,Shri Jr Saha,Indian Administrative Service,West Bengal,2,Graduate,Law,Second,Supremo
WB015300,Shri N Ramji,Indian Administrative Service,West Bengal,0,Graduate,Economics,Second,Supremo
WB015400,Shri Pk Banerji,Indian Administrative Service,West Bengal,0,Graduate,Economics,Third,Supremo
WB015400,Shri Pk Banerji,Indian Administrative Service,West Bengal,2,P.G.,Economics,Second,Supremo
WB015500,Shri Ps Ingty,Indian Administrative Service,West Bengal,0,Graduate,Economics,Second,Supremo
WB015500,Shri Ps Ingty,Indian Administrative Service,West Bengal,2,P.G.,Economics,Second,Supremo
WB015501,Ms. L Chakravarti,Indian Administrative Service,West Bengal,0,Graduate,Philosophy,Second,Supremo
WB015501,Ms. L Chakravarti,Indian Administrative Service,West Bengal,2,P.G.,Philosophy,First,Supremo
AM009800,Shri Pk Bora,Indian Administrative Service,Assam Meghalya,0,Graduate,English,Second,Supremo
AM009800,Shri Pk Bora,Indian Administrative Service,Assam Meghalya,2,P.G.,English,Second,Supremo
AM009902,Shri Ms Pangtey,Indian Administrative Service,Assam Meghalya,0,Graduate,English,Second,Supremo
AP015700,Shri S Narayanan,Indian Administrative Service,Andhra Pradesh,0,Graduate,Law,Second,Supremo
AP015700,Shri S Narayanan,Indian Administrative Service,Andhra Pradesh,2,Graduate,Physics,First,Supremo
AP015700,Shri S Narayanan,Indian Administrative Service,Andhra Pradesh,4,P.G.,Business Admn.,First,Supremo
AP015700,Shri S Narayanan,Indian Administrative Service,Andhra Pradesh,6,P.G.,Physics,First,Supremo
BH017700,Shri N K Sinha,Indian Administrative Service,Bihar,0,Graduate,Physics,First,Supremo
BH017700,Shri N K Sinha,Indian Administrative Service,Bihar,2,P.G.,Physics,First,Supremo
BH018200,Shri D P Maheshwari,Indian Administrative Service,Bihar,0,Graduate,Mathematics,First,Supremo
BH018200,Shri D P Maheshwari,Indian Administrative Service,Bihar,2,P.G.,Physics,First,Supremo
BH018400,Shri M L Majumdar,Indian Administrative Service,Bihar,0,Graduate,English,Second,Supremo
BH018400,Shri M L Majumdar,Indian Administrative Service,Bihar,2,P.G.,Philosophy,Second,Supremo
GJ012500,Shri Dipankar Basu,Indian Administrative Service,Gujarat,0,Graduate,Economics,Second,Supremo
GJ012500,Shri Dipankar Basu,Indian Administrative Service,Gujarat,2,M.B.A.,Law,Ordinary,Supremo
GJ012500,Shri Dipankar Basu,Indian Administrative Service,Gujarat,4,M.Phil.,Economics,Ordinary,Supremo
GJ012500,Shri Dipankar Basu,Indian Administrative Service,Gujarat,6,P.G.,Economics,Second,Supremo
GJ012500,Shri Dipankar Basu,Indian Administrative Service,Gujarat,8,P.G.,Public Admn,Ordinary,Supremo
GJ012600,Shri N Gopalaswami,Indian Administrative Service,Gujarat,0,N.A.,N.A.,N.A.,Supremo
HP003900,Shri Harsh Gupta,Indian Administrative Service,Himachal Pradesh,0,Graduate,Physics,Third,Supremo
HP003900,Shri Harsh Gupta,Indian Administrative Service,Himachal Pradesh,2,P.G.,Economic Dev.,First,Supremo
HP003900,Shri Harsh Gupta,Indian Administrative Service,Himachal Pradesh,4,P.G.,Political Sc.,Second,Supremo
HY006900,Shri Deepak Dasgupta,Indian Administrative Service,Haryana,0,Graduate,Mathematics,Second,Supremo
HY006900,Shri Deepak Dasgupta,Indian Administrative Service,Haryana,2,P.G.,Mathematics,Second,Supremo
HY007200,Shri Rl Sudhir,Indian Administrative Service,Haryana,0,Graduate,Agriculture,First,Supremo
HY007200,Shri Rl Sudhir,Indian Administrative Service,Haryana,2,P.G.,Botany,First,Supremo
MH017100,Shri Cd Singh,Indian Administrative Service,Maharashtra,0,Graduate,History,Third,Supremo
MH017100,Shri Cd Singh,Indian Administrative Service,Maharashtra,2,P.G.,History,Second,Supremo
MP017900,Shri V K Dhall,Indian Administrative Service,Madhya Pradesh,0,Graduate,Mathematics,First,Supremo
MP017900,Shri V K Dhall,Indian Administrative Service,Madhya Pradesh,2,P.G.,Mathematics,First,Supremo
MP018000,Shri Pradip Baijal,Indian Administrative Service,Madhya Pradesh,0,Graduate,Mech.engg.,First,Supremo
MP018000,Shri Pradip Baijal,Indian Administrative Service,Madhya Pradesh,2,Graduate,Physics,First,Supremo
MP018100,Shri Arun Bhatnagar,Indian Administrative Service,Madhya Pradesh,0,Graduate,Economics,Third,Supremo
MP018400,Shri Cs Chadha,Indian Administrative Service,Madhya Pradesh,0,Graduate,Mech.engg.,First,Supremo
MP018400,Shri Cs Chadha,Indian Administrative Service,Madhya Pradesh,2,Graduate,Pure Math.,First,Supremo
MP018400,Shri Cs Chadha,Indian Administrative Service,Madhya Pradesh,4,P.G.,Economics,Ordinary,Supremo
MP018400,Shri Cs Chadha,Indian Administrative Service,Madhya Pradesh,6,PG Diploma,Public Admn,Ordinary,Supremo
MP018700,Shri Ak Agarwal,Indian Administrative Service,Madhya Pradesh,0,Graduate,Physics,First,Supremo
MP018700,Shri Ak Agarwal,Indian Administrative Service,Madhya Pradesh,2,P.G.,Mathematics,First,Supremo
MP018800,Shri Vk Majotra,Indian Administrative Service,Madhya Pradesh,0,Graduate,History,Third,Supremo
MP018800,Shri Vk Majotra,Indian Administrative Service,Madhya Pradesh,2,P.G.,English,Second,Supremo
OR013700,Shri Jn Podar,Indian Administrative Service,Odisha,0,Graduate,Economics,Second,Supremo
OR013700,Shri Jn Podar,Indian Administrative Service,Odisha,2,Graduate,Law,Second,Supremo
OR013700,Shri Jn Podar,Indian Administrative Service,Odisha,4,P.G.,Political Sc.,Second,Supremo
PB008201,Shri N N Khanna,Indian Administrative Service,Punjab,0,Graduate,History,Second,Supremo
PB008201,Shri N N Khanna,Indian Administrative Service,Punjab,2,P.G.,History,First,Supremo
RJ012600,Shri Inderjit Khanna,Indian Administrative Service,Rajasthan,0,Diploma,German,Ordinary,Supremo
RJ012600,Shri Inderjit Khanna,Indian Administrative Service,Rajasthan,2,Graduate,Mathematics,First,Supremo
RJ012600,Shri Inderjit Khanna,Indian Administrative Service,Rajasthan,4,P.G.,Mathematics,Second,Supremo
TN013300,Shri P Shankar,Indian Administrative Service,Tamil Nadu,0,Graduate,Economics,First,Supremo
TN013300,Shri P Shankar,Indian Administrative Service,Tamil Nadu,2,P.G.,Economics,Second,Supremo
UP025400,Shri Cm Vasudev,Indian Administrative Service,Uttar Pradesh,0,Graduate,Physics,First,Supremo
UP025400,Shri Cm Vasudev,Indian Administrative Service,Uttar Pradesh,2,P.G.,Physics,First,Supremo
WB014900,Shri D Chatterjee,Indian Administrative Service,West Bengal,0,Certificate,German,First,Supremo
WB014900,Shri D Chatterjee,Indian Administrative Service,West Bengal,2,Graduate,Physics,First,Supremo
WB014900,Shri D Chatterjee,Indian Administrative Service,West Bengal,4,P.G.,Economics,Ordinary,Supremo
WB014900,Shri D Chatterjee,Indian Administrative Service,West Bengal,6,P.G.,Physics,First,Supremo
MH016100,Dr. Dr Psa Sundaram,Indian Administrative Service,Maharashtra,0,Graduate,Economics,First,Supremo
MH016100,Dr. Dr Psa Sundaram,Indian Administrative Service,Maharashtra,2,P.G.,Economics,Second,Supremo
MH016100,Dr. Dr Psa Sundaram,Indian Administrative Service,Maharashtra,4,P.G.,Management,-,Supremo
