ID,Name,Service,Cadre,Reference_Value,Designation,Level,Office,Organisation,Field_of_Experience,Category_of_Experience,Start_Date,End_Date,Source
MH006800,Shri B G Deshmukh,Indian Administrative Service,Maharashtra,7,Additional Secy,Additional Secretary,M/o Home Affairs,Centre,Home,Home,01/05/1978,01/01/1981,Supremo
MH006800,Shri B G Deshmukh,Indian Administrative Service,Maharashtra,8,Commissioner,Joint Secretary,,Cadre (AIS),Municipal Administration,Urban Development,01/08/1975,01/05/1978,Supremo
MH006800,Shri B G Deshmukh,Indian Administrative Service,Maharashtra,9,Secretary,Joint Secretary,,Cadre (AIS),General Administration,Personnel and General Administration,01/04/1972,01/08/1975,Supremo
MH006800,Shri B G Deshmukh,Indian Administrative Service,Maharashtra,10,Secretary,Joint Secretary,,Cadre (AIS),Urban Develoment,Urban Development,01/11/1971,01/04/1972,Supremo
MH006800,Shri B G Deshmukh,Indian Administrative Service,Maharashtra,11,N.A.,Joint Secretary,Personnel & Trg Deptt,Cadre (AIS),Personnel Mgmt,Personnel and General Administration,01/02/1970,01/11/1971,Supremo
MH006800,Shri B G Deshmukh,Indian Administrative Service,Maharashtra,12,Deputy Secretary,Deputy Secretary,,Cadre (AIS),Personnel Mgmt,Personnel and General Administration,01/07/1963,01/02/1970,Supremo
MH006800,Shri B G Deshmukh,Indian Administrative Service,Maharashtra,13,N.A.,Under Secretary Equivalent,M/o Communications & Info Tech,Centre,Communication,Communications & Information Technology,01/07/1960,01/06/1962,Supremo
MH006800,Shri B G Deshmukh,Indian Administrative Service,Maharashtra,14,Under Secy,Under Secretary,M/o Transport,Centre,Transport,Transport,01/07/1958,01/05/1960,Supremo
MH006800,Shri B G Deshmukh,Indian Administrative Service,Maharashtra,15,District Collector,Under Secretary,,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,01/11/1956,01/06/1958,Supremo
MH006800,Shri B G Deshmukh,Indian Administrative Service,Maharashtra,16,Assistant Collector,Junior Scale,,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,01/12/1952,01/03/1956,Supremo
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,0,Chairman,Secretary,,Cadre (AIS),Handicrafts,Textiles,01/05/1985,01/01/1988,Supremo
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,1,Chairman,Secretary,,Cadre (AIS),Agriculture,Agriculture & Cooperation,01/08/1982,01/05/1985,Supremo
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,2,Chairman,Secretary,,Cadre (AIS),Small Scale Industries,Industries,01/08/1981,01/08/1982,Supremo
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,3,Commissioner,Additional Secretary,,Cadre (AIS),Land Reforms,Land Revenue Mgmt & District Admn,01/12/1980,01/08/1981,Supremo
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,4,Member,Joint Secretary,,Cadre (AIS),Revenue,Finance,01/09/1975,01/03/1981,Supremo
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,5,Spl Secy,Joint Secretary,,Cadre (AIS),Public Works,Public Works,01/04/1974,01/09/1975,Supremo
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,6,OSD to Minister,Joint Secretary,,Cadre (AIS),Power,Energy,01/11/1973,01/04/1974,Supremo
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,7,Spl Secy,Joint Secretary,,Cadre (AIS),Public Distribution,"Consumer Affairs, Food & PD",01/05/1971,01/11/1973,Supremo
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,8,Secretary,Joint Secretary,,Cadre (AIS),Public Distribution,"Consumer Affairs, Food & PD",01/02/1970,01/05/1971,Supremo
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,9,Commissioner,Director,,Cadre (AIS),Dairy,Agriculture & Cooperation,01/05/1969,01/02/1970,Supremo
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,10,N.A.,Director Equivalent,D/o Coal,Centre (PSU),Mines,Mines & Minerals,01/03/1966,01/04/1969,Supremo
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,11,Commissioner,Deputy Secretary,,Cadre (AIS),Dairy,Agriculture & Cooperation,01/05/1964,01/03/1966,Supremo
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,12,N.A.,Deputy Secretary Equivalent,M/o Steel,Centre (PSU),Mines,Mines & Minerals,01/09/1961,01/05/1964,Supremo
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,13,Secretary,Under Secretary,,Cadre (AIS),Revenue,Finance,01/01/1961,01/09/1961,Supremo
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,14,Deputy Commissioner,Under Secretary,,Cadre (AIS),Revenue,Finance,01/03/1960,01/01/1961,Supremo
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,15,Settlement Officer,Under Secretary,,Cadre (AIS),Settlement,Land Revenue Mgmt & District Admn,01/05/1958,01/03/1960,Supremo
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,16,Assistant Settlement Officer,Under Secretary,,Cadre (AIS),Settlement,Land Revenue Mgmt & District Admn,01/08/1957,01/04/1958,Supremo
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,17,Under Secy,Junior Scale,,Cadre (AIS),Development Admn,Land Revenue Mgmt & District Admn,01/12/1955,01/07/1957,Supremo
TN003900,Shri Ram Chander,Indian Administrative Service,Tamil Nadu,18,Assistant Collector,Junior Scale,,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,01/07/1954,01/12/1955,Supremo
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,0,N.A.,Secretary,,Cadre (Inter-Cadre Deputation),Personnel Mgmt,Personnel and General Administration,01/04/1988,01/01/1989,Supremo
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,1,Secretary,Secretary,M/o Petroleum & Natural Gas,Centre,Petroleum,Petroleum & Natural Gas,01/02/1985,01/03/1988,Supremo
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,2,Secretary,Secretary Equivalent,M/o Home Affairs,Centre,Home,Home,07/05/1984,14/02/1985,Supremo
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,3,Member Secy,Secretary Equivalent,M/o Finance & Company Affairs,Centre,Finance,Finance,01/05/1984,01/07/1984,Supremo
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,4,Chief Secy,Secretary,,Cadre (AIS),General Administration,Personnel and General Administration,01/07/1983,01/02/1984,Supremo
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,5,Member Secy,Secretary Equivalent,Cabinet Sectt,Centre,Energy,Energy,01/05/1983,01/07/1983,Supremo
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,6,Secretary,Secretary,M/o Coal,Centre,Coal,Mines & Minerals,01/01/1983,01/05/1983,Supremo
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,7,Adviser,Additional Secretary Equivalent,Planning Commission,Centre,Planning,Planning & Prog Implementation,01/01/1981,01/01/1983,Supremo
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,8,Additional Secy,Additional Secretary,M/o Commerce & Industry,Centre,Industries,Industries,01/10/1977,01/01/1981,Supremo
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,9,Secretary,Joint Secretary,,Cadre (AIS),Urban Develoment,Urban Development,01/05/1976,01/10/1977,Supremo
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,10,Minister,Joint Secretary Equivalent,Centre - Foreign Post,Centre (Foreign Posting),Economic Affairs,Finance,01/12/1972,01/04/1976,Supremo
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,11,Jt Secy,Joint Secretary,M/o Finance & Company Affairs,Centre,Finance,Finance,01/01/1971,01/12/1972,Supremo
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,12,Director,Director,M/o Finance & Company Affairs,Centre,Finance,Finance,01/09/1968,01/01/1971,Supremo
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,13,Deputy Secretary,Deputy Secretary,M/o Finance & Company Affairs,Centre,Finance,Finance,01/05/1966,01/09/1968,Supremo
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,14,Managing Director,Deputy Secretary,,Cadre (AIS),Industries,Industries,01/04/1963,01/04/1966,Supremo
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,15,Managing Director,Deputy Secretary,,Cadre (AIS),Mines,Mines & Minerals,01/07/1961,01/04/1963,Supremo
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,16,District Collector,Under Secretary,Nellore,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,01/09/1960,01/07/1961,Supremo
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,17,Under Secy,Under Secretary,M/o Steel,Centre,Heavy Industries,Industries,01/01/1957,01/07/1959,Supremo
AP004800,Shri Gv Ramakrishna,Indian Administrative Service,Andhra Pradesh,18,Assistant Collector,Junior Scale,Vizianagaram,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,01/07/1954,01/11/1956,Supremo
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,0,N.A.,Secretary,,Cadre (AIS),Planning,Planning & Prog Implementation,01/08/1984,31/05/1988,Supremo
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,1,Chairman,Additional Secretary,,Cadre (AIS),Power,Energy,01/07/1982,01/08/1984,Supremo
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,2,N.A.,Additional Secretary,,Cadre (AIS),Development Admn,Land Revenue Mgmt & District Admn,01/08/1981,01/07/1982,Supremo
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,3,N.A.,Joint Secretary,,Cadre (AIS),Development Admn,Land Revenue Mgmt & District Admn,01/09/1979,01/08/1981,Supremo
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,4,Commissioner,Joint Secretary,,Cadre (AIS),Irrigation,Water Resources,01/10/1977,01/09/1979,Supremo
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,5,Under Suspension,Joint Secretary,,Cadre (AIS),,N.Applicable,01/08/1973,01/10/1977,Supremo
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,6,Commissioner & Secy,Joint Secretary,,Cadre (AIS),Health & Family Welfare,Health & Family Welfare,01/12/1971,01/08/1973,Supremo
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,7,Chairman & M D,Joint Secretary,,Cadre (AIS),Police,Home,01/08/1970,01/12/1971,Supremo
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,8,Additional Secy,Director,,Cadre (AIS),Finance,Finance,01/12/1967,01/08/1970,Supremo
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,9,Additional Secy,Director,,Cadre (AIS),General Administration,Personnel and General Administration,01/07/1967,01/12/1967,Supremo
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,10,Secretary,Deputy Secretary,,Cadre (AIS),Planning,Planning & Prog Implementation,01/11/1964,01/07/1967,Supremo
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,11,Secretary,Deputy Secretary,,Cadre (AIS),Personnel Mgmt,Personnel and General Administration,01/08/1963,01/03/1964,Supremo
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,12,Jt Secy,Deputy Secretary,,Cadre (AIS),Personnel Mgmt,Personnel and General Administration,01/11/1961,01/08/1963,Supremo
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,13,Deputy Secretary,Under Secretary,,Cadre (AIS),Personnel Mgmt,Personnel and General Administration,01/09/1959,01/11/1961,Supremo
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,14,District Collector,Under Secretary,Saran,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,01/09/1956,01/08/1959,Supremo
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,15,Under Secy,Junior Scale,,Cadre (AIS),Personnel Mgmt,Personnel and General Administration,01/09/1955,01/09/1956,Supremo
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,16,Assistant Collector & A D M,Junior Scale,,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,01/05/1954,01/09/1955,Supremo
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,17,N.A.,Junior Scale,,Cadre (AIS),Settlement,Land Revenue Mgmt & District Admn,01/10/1953,01/05/1954,Supremo
BH005400,Shri N Nagamani,Indian Administrative Service,Bihar,18,Assistant Collector & A D M,Junior Scale,,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,01/04/1953,01/10/1953,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,0,OSD to Minister,Secretary Equivalent,M/o Home Affairs,Centre,Home,Home,01/12/1987,01/07/1988,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,1,Secretary,Secretary,D/o Surface Transport,Centre,Shipping,Transport,01/07/1985,01/12/1987,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,2,Chairman,Secretary Equivalent,Cabinet Sectt,Centre,Internal Security,Home,01/08/1983,01/07/1985,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,3,Spl Secy,Secretary,M/o Home Affairs,Centre,Home,Home,01/06/1982,01/07/1983,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,4,Chief Secy,Secretary,,Cadre (AIS),General Administration,Personnel and General Administration,01/04/1980,01/06/1982,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,5,Commissioner,Joint Secretary,,Cadre (AIS),Agriculture,Agriculture & Cooperation,01/02/1980,01/04/1980,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,6,Commissioner,Joint Secretary,,Cadre (AIS),Institutional Finance,Finance,01/03/1978,01/02/1980,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,7,Chairman,Joint Secretary,,Cadre (AIS),Public Grievances,Personnel and General Administration,01/08/1977,01/03/1978,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,8,Additional Secy,Additional Secretary,M/o Home Affairs,Centre,Judicial,Law and Justice,01/12/1976,01/08/1977,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,9,Jt Secy,Joint Secretary,"M/o Law, Justice & Company Affairs",Centre,Judicial,Law and Justice,01/06/1971,01/12/1976,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,10,Commissioner,Joint Secretary,,Cadre (AIS),Administrative Reforms,Personnel and General Administration,01/10/1970,01/06/1971,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,11,Secretary,Director,,Cadre (AIS),Political Affairs,Home,01/05/1969,01/10/1970,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,12,Secretary,Director,,Cadre (AIS),Labour,Labour & Employment,01/10/1968,01/05/1969,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,13,Chairman,Director,,Cadre (AIS),Mines,Mines & Minerals,01/09/1966,01/06/1968,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,14,Deputy G M,Deputy Secretary Equivalent,,Centre (PSU),Mines,Mines & Minerals,01/10/1965,01/05/1966,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,15,Secretary,Deputy Secretary,,Cadre (AIS),Industries,Industries,01/03/1965,01/10/1965,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,16,District Collector,Deputy Secretary,Purnia,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,01/01/1963,01/07/1964,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,17,Director,Deputy Secretary,,Cadre (AIS),Revenue Admn,Land Revenue Mgmt & District Admn,01/12/1961,01/01/1963,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,18,District Collector,Under Secretary,Gaya,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,01/11/1959,01/12/1961,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,19,Deputy Dev Commissioner,Junior Scale,,Cadre (AIS),Development Admn,Land Revenue Mgmt & District Admn,01/10/1956,01/11/1959,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,20,N.A.,Junior Scale,,Cadre (AIS),General Administration,Personnel and General Administration,01/12/1955,01/06/1956,Supremo
BH005600,Shri Pp Nayyar,Indian Administrative Service,Bihar,21,Assistant Collector & A D M,Junior Scale,,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,01/04/1953,01/12/1955,Supremo
GJ003000,Shri M Sivagnanam,Indian Administrative Service,Gujarat,0,Managing Director,Secretary,,Cadre (AIS),Corporate Management (New),Corporate Management (New),01/08/1987,01/02/1988,Supremo
GJ003000,Shri M Sivagnanam,Indian Administrative Service,Gujarat,1,Chairman,Secretary,,Cadre (AIS),Power,Energy,01/08/1985,01/08/1987,Supremo
GJ003000,Shri M Sivagnanam,Indian Administrative Service,Gujarat,2,Chief Secy,Secretary,,Cadre (AIS),General Administration,Personnel and General Administration,01/12/1984,01/07/1985,Supremo
GJ003000,Shri M Sivagnanam,Indian Administrative Service,Gujarat,3,Principal Secy,Additional Secretary,,Cadre (AIS),Industries,Industries,01/04/1983,01/11/1984,Supremo
GJ003000,Shri M Sivagnanam,Indian Administrative Service,Gujarat,4,Principal Secy,Additional Secretary,,Cadre (AIS),Mines,Mines & Minerals,01/04/1983,01/11/1984,Supremo
GJ003000,Shri M Sivagnanam,Indian Administrative Service,Gujarat,5,Additional Chief Secretary,Additional Secretary,,Cadre (AIS),Industries,Industries,01/06/1980,01/03/1983,Supremo
GJ003000,Shri M Sivagnanam,Indian Administrative Service,Gujarat,6,N.A.,Joint Secretary,Planning Commission,Centre,Planning,Planning & Prog Implementation,01/05/1979,01/06/1980,Supremo
GJ003000,Shri M Sivagnanam,Indian Administrative Service,Gujarat,7,Managing Director,Additional Secretary,,Cadre (PSU),Corporate Management (New),Corporate Management (New),01/01/1977,01/05/1979,Supremo
GJ003000,Shri M Sivagnanam,Indian Administrative Service,Gujarat,8,Secretary,Joint Secretary,,Cadre (AIS),Home,Home,01/07/1976,01/01/1977,Supremo
GJ003000,Shri M Sivagnanam,Indian Administrative Service,Gujarat,9,Commissioner,Joint Secretary,,Cadre (AIS),Industries,Industries,01/05/1973,01/07/1976,Supremo
GJ003000,Shri M Sivagnanam,Indian Administrative Service,Gujarat,10,Secretary,Joint Secretary,,Cadre (AIS),Industries,Industries,01/07/1972,01/05/1973,Supremo
GJ003000,Shri M Sivagnanam,Indian Administrative Service,Gujarat,11,Commissioner,Director,,Cadre (AIS),Industries,Industries,01/04/1968,01/07/1972,Supremo
GJ003000,Shri M Sivagnanam,Indian Administrative Service,Gujarat,12,Secretary,Director,,Cadre (AIS),Public Works,Public Works,01/11/1967,01/04/1968,Supremo
GJ003000,Shri M Sivagnanam,Indian Administrative Service,Gujarat,13,Deputy Secretary,Deputy Secretary,M/o Home Affairs,Centre,Home,Home,01/10/1963,01/11/1967,Supremo
GJ003000,Shri M Sivagnanam,Indian Administrative Service,Gujarat,14,Deputy Secretary,Under Secretary,,Cadre (AIS),Public Works,Public Works,01/07/1960,01/05/1963,Supremo
