Item,Count
Zoology|Zoology-----Land Revenue Mgmt & District Admn,24
Political Sc.-----N.Applicable,24
Political Sc.|Political Sc.-----Energy,24
N.A.-----Textiles,24
|Political Sc.-----N.A.,24
Medicine-----Agriculture & Cooperation,23
English|English-----Planning & Prog Implementation,23
Geography|Geography-----Personnel and General Administration,23
History-----Home,23
English|English-----Urban Development,23
Mathematics|Mathematics-----Industries,23
Economics|Economics|Economics-----Personnel and General Administration,23
History|Political Sc.-----Industries,23
Economics|Economics-----Corporate Management (New),23
Electrical Engg.-----Rural Dev,23
Mathematics|Mathematics-----Agriculture & Cooperation,23
Chemistry-----Finance,23
Medicine-----Rural Dev,23
Civil Engg-----,23
Agri.-----N.A.,23
English-----Planning & Prog Implementation,23
English Lit|English Lit-----Social Justice & Empowerment,22
Botany|Botany-----Personnel and General Administration,22
Physics|Physics-----Environment & Forests,22
Civil Engg|Structural Engg-----Land Revenue Mgmt & District Admn,22
Civil Engg|Civil Engg-----Land Revenue Mgmt & District Admn,22
English Lit-----Finance,22
Electronics Engg-----Land Revenue Mgmt & District Admn,22
Medicine-----Social Justice & Empowerment,22
Electronics-----Finance,22
Economics|Economics-----Water Resources,22
Commerce|Economics-----Land Revenue Mgmt & District Admn,22
Physics-----Human Resource Dev,22
Physics|Economics|Physics-----Land Revenue Mgmt & District Admn,22
N.A.-----Science & Technology,22
Economics|Economics|Economics-----Finance,22
Political Sc.|Political Sc.-----Rural Dev,22
Electronics-----Personnel and General Administration,22
English-----Rural Dev,22
Mech.engg.-----,22
English|Economics-----Personnel and General Administration,21
English|Political Sc.-----Agriculture & Cooperation,21
English-----Labour & Employment,21
Political Sc.-----Urban Development,21
Economics|Economics-----Protocol,21
Mech.engg.-----Human Resource Dev,21
Chemistry|Law-----Finance,21
Economics|Economics-----Textiles,21
Electrical Engg.-----Energy,21
History|History-----Information & Broadcasting,21
Economics|Law-----Urban Development,21
Economics|Law|Economics-----Urban Development,21
Physics-----Industries,21
English Lit|English Lit-----Health & Family Welfare,21
Civil Engg-----Agriculture & Cooperation,21
N.A.-----Communications & Information Technology,21
English Lit|English Lit-----N.Applicable,20
Philosophy-----Land Revenue Mgmt & District Admn,20
History|History-----Environment & Forests,20
Economics|Political Sc.-----Finance,20
Commerce-----Agriculture & Cooperation,20
Mathematics-----Personnel and General Administration,20
English Lit|English Lit-----Home,20
History|History-----Culture,20
Geology|Geology-----Finance,20
Physics|Physics-----Information & Broadcasting,20
N.A.-----Protocol,20
English Lit|English Lit-----Human Resource Dev,20
Electrical Engg.-----Agriculture & Cooperation,20
Political Sc.|Political Sc.-----Planning & Prog Implementation,20
Economics|Business Admn.|Economics-----Land Revenue Mgmt & District Admn,20
English|English-----Social Justice & Empowerment,20
Chemistry|Chemistry-----Home,20
Economics|History-----Finance,20
English|English-----Information & Broadcasting,20
Statistics|Statistics-----Land Revenue Mgmt & District Admn,20
Chemistry|Law-----Land Revenue Mgmt & District Admn,20
Physics-----Home,20
Economics-----Labour & Employment,19
English|English-----Transport,19
History-----Health & Family Welfare,19
Mech.engg.-----Health & Family Welfare,19
History|Political Sc.-----Finance,19
Economics|Economics-----Law & Justice,19
Computer Sc-----Personnel and General Administration,19
English Lit-----Personnel and General Administration,19
English|English Lit-----Finance,19
English|English Lit-----Agriculture & Cooperation,19
Medicine-----Local Self Govt,19
History|History-----Protocol,19
"History-----Consumer Affairs, Food & PD",19
History|History-----Labour & Employment,19
Botany|Botany-----Agriculture & Cooperation,19
Surgery-----Land Revenue Mgmt & District Admn,19
English Lit|English Lit-----Rural Dev,19
Mech.engg.|Indl Engg.-----Land Revenue Mgmt & District Admn,19
Political Sc.-----Social Justice & Empowerment,19
Electrical Engg.-----Health & Family Welfare,19
Agriculture-----Agriculture & Cooperation,18
English Lit|Economics-----Finance,18
Law|Physics-----Finance,18
Physics|Physics-----Health & Family Welfare,18
Economics|Economics-----Local Self Govt,18
History|Law-----Personnel and General Administration,18
Economics|Law-----Agriculture & Cooperation,18
Mathematics|Mathematics-----Urban Development,18
English|Law-----Agriculture & Cooperation,18
Political Sc.|Political Sc.-----Transport,18
English|English-----Environment & Forests,18
Commerce|Commerce-----Urban Development,18
Geography-----Land Revenue Mgmt & District Admn,18
Law|N.A.-----Land Revenue Mgmt & District Admn,18
Economics|Economics-----Tourism,18
History|Political Sc.-----Personnel and General Administration,18
Electronics|Electronics and Communication-----Land Revenue Mgmt & District Admn,18
Electrical Engg.|Electrical Engg.-----Finance,18
Economics|Political Sc.-----Personnel and General Administration,18
Political Sc.-----Rural Dev,18
Science-----Land Revenue Mgmt & District Admn,18
Art-----Land Revenue Mgmt & District Admn,18
"Economics|Law|Economics-----Consumer Affairs, Food & PD",17
Physics|Mathematics-----Home,17
Mathematics-----Finance,17
Geology|Geology-----Personnel and General Administration,17
Philosophy|Philosophy-----Land Revenue Mgmt & District Admn,17
Mech.engg.-----Social Justice & Empowerment,17
Physics|Physics-----Commerce,17
Physics|Physics-----Labour & Employment,17
Economics|Business Admn.-----Land Revenue Mgmt & District Admn,17
Commerce|Commerce-----Industries,17
Political Sc.-----Transport,17
Physics|Mathematics-----Agriculture & Cooperation,17
Physics-----Rural Dev,17
|Comp. Sci.-----N.A.,17
Psychology|Psychology-----Land Revenue Mgmt & District Admn,17
Mathematics|Physics-----Land Revenue Mgmt & District Admn,17
Law|Political Sc.|Political Sc.-----Land Revenue Mgmt & District Admn,17
Electronics and Communication-----N.Applicable,17
Computer Sc-----Urban Development,17
Sociology-----Land Revenue Mgmt & District Admn,17
Economics-----Local Self Govt,16
"Medicine-----Consumer Affairs, Food & PD",16
Metallurgy|Metallurgy-----Land Revenue Mgmt & District Admn,16
English|English-----Commerce,16
Law-----Personnel and General Administration,16
Civil Engg-----Health & Family Welfare,16
History|History-----Tourism,16
Political Sc.|Political Sc.-----Labour & Employment,16
Economics-----Energy,16
English|Political Sc.-----Urban Development,16
Mathematics-----Agriculture & Cooperation,16
History-----Human Resource Dev,16
English Lit|History-----Finance,16
"Political Sc.|Political Sc.-----Consumer Affairs, Food & PD",16
"English Lit|English Lit-----Consumer Affairs, Food & PD",16
Mech.engg.-----Staff Officers,16
English|Sociology-----Land Revenue Mgmt & District Admn,16
Economics-----Law & Justice,16
Computer Sc-----Finance,16
Accountancy-----Land Revenue Mgmt & District Admn,16
English-----Environment & Forests,16
History|History-----Local Self Govt,16
English Lit|Political Sc.-----Agriculture & Cooperation,16
English|History-----Personnel and General Administration,16
English|Law|English-----Land Revenue Mgmt & District Admn,16
English|Law-----Industries,16
Mech.engg.-----Transport,16
English Lit-----N.Applicable,15
History-----Rural Dev,15
Political Sc.|Political Sc.-----Tourism,15
Economics|Law|Political Sc.-----Land Revenue Mgmt & District Admn,15
History|Political Sc.-----Agriculture & Cooperation,15
Civil Engg-----Transport,15
Law|Economics-----Land Revenue Mgmt & District Admn,15
Physics-----N.A.,15
Chemistry|Law-----Personnel and General Administration,15
Political Sc.|Political Sc.|Political Sc.-----Personnel and General Administration,15
Economics|Law|Economics-----Industries,15
Physics-----Social Justice & Empowerment,15
Botany-----Personnel and General Administration,15
History|English Lit-----Land Revenue Mgmt & District Admn,15
Medicine-----Home,15
Medicine-----Industries,15
"Economics|Law-----Consumer Affairs, Food & PD",15
Prodn.Engg.-----Land Revenue Mgmt & District Admn,15
English|Political Sc.-----Industries,15
Electronics-----,15
Mech.engg.-----Local Self Govt,15
Commerce|Law-----Industries,15
Hindi|Law-----Land Revenue Mgmt & District Admn,15
Mech.engg.|Mech.engg.-----Land Revenue Mgmt & District Admn,15
Electrical Engg.-----Local Self Govt,15
Mech.engg.-----Water Resources,15
"Chemistry|Chemistry-----Consumer Affairs, Food & PD",14
Economics|History-----Home,14
Commerce-----Industries,14
Commerce|Law-----Finance,14
Economics|Economics-----Information & Broadcasting,14
Mathematics-----Industries,14
Law|Mathematics-----Land Revenue Mgmt & District Admn,14
Economics|Law-----Rural Dev,14
English-----Local Self Govt,14
English|Law|English-----Finance,14
Economics|Economics-----Staff Officers,14
Geography|Geography-----N.Applicable,14
Law|Political Sc.-----Finance,14
Chemistry|Chemistry-----Human Resource Dev,14
Law-----Urban Development,14
Economics|Economics-----Women & Child Dev,14
Statistics-----Land Revenue Mgmt & District Admn,14
Commerce|Commerce-----Rural Dev,14
Computer Sc-----Rural Dev,14
Geology-----Land Revenue Mgmt & District Admn,14
Physics|Geology-----Land Revenue Mgmt & District Admn,14
History|History-----Corporate Management (New),14
Chemistry-----Personnel and General Administration,14
History|History-----Public Works,14
Political Sc.|Political Sc.-----Water Resources,14
English-----Information & Broadcasting,14
Civil Engg-----Human Resource Dev,14
Mech.engg.-----Home,14
English|English Lit-----Personnel and General Administration,14
Civil Engg-----Labour & Employment,14
Agriculture|Agriculture|Agriculture-----Land Revenue Mgmt & District Admn,14
History-----Energy,14
Commerce|Commerce-----N.Applicable,14
Physics-----Planning & Prog Implementation,14
Commerce|Business Admn.-----Land Revenue Mgmt & District Admn,14
Civil Engg|N.A.-----Land Revenue Mgmt & District Admn,14
Mech.engg.|Business Admn.-----Land Revenue Mgmt & District Admn,14
History|Modern Ind.Hist-----Land Revenue Mgmt & District Admn,14
Commerce|Commerce-----Social Justice & Empowerment,14
Botany|Botany-----Finance,14
Physics|Law-----Land Revenue Mgmt & District Admn,14
English Lit|Economics-----Industries,13
Mathematics|Physics-----Finance,13
English Lit-----Agriculture & Cooperation,13
History|History|Public Admn-----Land Revenue Mgmt & District Admn,13
Commerce|Economics-----Finance,13
Electrical Engg.-----Transport,13
English Lit-----Social Justice & Empowerment,13
Electronics and Communication-----Land Revenue Mgmt & District Admn,13
English-----Water Resources,13
Agriculture-----Finance,13
Commerce-----Social Justice & Empowerment,13
Economics|Business Admn.-----Finance,13
Civil Engg-----Energy,13
German|Physics|Physics-----Personnel and General Administration,13
Physics-----Energy,13
English|Economics-----Finance,13
Chemical Engg-----Urban Development,13
Philosophy-----Personnel and General Administration,13
History|Political Sc.-----Urban Development,13
English|Law|Political Sc.-----Land Revenue Mgmt & District Admn,13
"Political Sc.-----Consumer Affairs, Food & PD",13
Chemistry|Chemistry-----Social Justice & Empowerment,13
Commerce|Accountancy-----Land Revenue Mgmt & District Admn,13
Electronics-----Social Justice & Empowerment,13
English|English-----Health & Family Welfare,13
Medicine-----Human Resource Dev,13
Political Sc.-----Home,13
History-----Labour & Employment,13
History|History-----Mines & Minerals,13
Commerce-----Home,13
Political Sc.|Political Sc.|Public Admn-----Land Revenue Mgmt & District Admn,13
Commerce-----Urban Development,13
Economics|English Lit-----Agriculture & Cooperation,13
Commerce|Law|Commerce-----Finance,13
English Lit|English Lit-----Urban Development,13
Economics|English Lit-----Land Revenue Mgmt & District Admn,13
English|Political Sc.-----Human Resource Dev,13
English-----Energy,12
Political Sc.|Political Sc.-----Youth Affairs & Sports,12
English-----Culture,12
"Physics-----Consumer Affairs, Food & PD",12
English-----Commerce,12
Electronics-----Rural Dev,12
English|English-----Labour & Employment,12
Physics|Physics-----Tourism,12
English Lit|Economics-----Personnel and General Administration,12
Law|Physics|Physics-----Land Revenue Mgmt & District Admn,12
Economics|Political Sc.-----Agriculture & Cooperation,12
Agriculture|Agriculture-----Agriculture & Cooperation,12
Mathematics|Physics-----Personnel and General Administration,12
History|Economics-----Urban Development,12
Civil Engg-----Social Justice & Empowerment,12
History|History-----Youth Affairs & Sports,12
Electrical Engg.-----Home,12
English-----Textiles,12
History|Law-----Urban Development,12
English Lit|English Lit-----Environment & Forests,12
Medicine|Medicine-----Land Revenue Mgmt & District Admn,12
Economics|English-----Land Revenue Mgmt & District Admn,12
History|Law-----Agriculture & Cooperation,12
Economics|Law-----Social Justice & Empowerment,12
Chemistry-----N.Applicable,12
Mathematics|Mathematics-----Transport,12
History|History-----Water Resources,12
Botany|Botany-----Urban Development,12
Electrical Engg.-----Planning & Prog Implementation,12
Political Sc.-----Environment & Forests,12
Civil Engg-----Home,12
Botany|Zoology-----Land Revenue Mgmt & District Admn,12
Mathematics|Mathematics-----Rural Dev,12
Physics-----Transport,12
Mech.engg.-----Textiles,12
Geography|Geography-----Agriculture & Cooperation,12
Agriculture|Agrl.Economics-----Land Revenue Mgmt & District Admn,12
Physics|Physics-----Communications & Information Technology,12
Petroleum Engg-----Land Revenue Mgmt & District Admn,12
History|Law-----Industries,12
Law|Political Sc.-----Home,12
Medicine-----Staff Officers,12
English|History-----Agriculture & Cooperation,12
Mathematics|English Lit-----Finance,12
English Lit|English-----Land Revenue Mgmt & District Admn,12
Political Sc.|Political Sc.-----Information & Broadcasting,12
History|Economics-----Personnel and General Administration,12
Mathematics-----N.Applicable,12
Economics|Business Admn.-----Industries,12
History|Law-----Finance,12
Civil Engg-----Water Resources,12
Civil Engg|Business Admn.-----Agriculture & Cooperation,12
Economics|Economics-----Public Works,12
|||Electronics & Telecom Engg-----N.A.,12
Political Sc.|Political Sc.-----Mines & Minerals,12
Medicine-----Water Resources,12
Commerce|Law-----Agriculture & Cooperation,12
Political Sc.-----Labour & Employment,12
Chemistry-----N.A.,12
Mathematics|Statistics-----Land Revenue Mgmt & District Admn,12
Political Sc.|Business Admn.|Political Sc.-----Land Revenue Mgmt & District Admn,12
|Chem. Engg-----N.A.,12
Political Sc.|Political Sc.-----Commerce,12
Geography|Geography|Geography-----Land Revenue Mgmt & District Admn,12
Instrumentation-----Land Revenue Mgmt & District Admn,12
Political Sc.|Political Sc.|Public Admn-----Industries,12
Electrical Engg.-----Social Justice & Empowerment,12
History|Sociology-----Personnel and General Administration,11
Commerce|Commerce-----Staff Officers,11
English-----ST Welfare,11
Economics|History-----Agriculture & Cooperation,11
English Lit|English Lit-----Transport,11
Physics-----Water Resources,11
Economics|Law|Economics-----Planning & Prog Implementation,11
Economics|History-----Personnel and General Administration,11
Economics|English-----Agriculture & Cooperation,11
English|English-----Public Works,11
Engineeriing-----Land Revenue Mgmt & District Admn,11
English|English Lit-----N.Applicable,11
Mathematics|English-----Land Revenue Mgmt & District Admn,11
Chemical Engg-----Health & Family Welfare,11
Physics|Physics-----Youth Affairs & Sports,11
Law-----Social Justice & Empowerment,11
Mathematics|Mathematics-----N.Applicable,11
Sociology|Sociology|Sociology-----Land Revenue Mgmt & District Admn,11
Law|Physics-----Agriculture & Cooperation,11
History-----Local Self Govt,11
Commerce|Economics-----Agriculture & Cooperation,11
English Lit|English Lit-----Planning & Prog Implementation,11
Mech.engg.-----Rural Dev,11
Mathematics|Mathematics-----Home,11
English|English-----Rural Dev,11
English Lit-----Urban Development,11
English|Mathematics-----Finance,11
Political Sc.-----,11
Economics|English Lit-----Finance,11
"Commerce-----Consumer Affairs, Food & PD",11
English-----Tourism,11
English Lit|Law-----Land Revenue Mgmt & District Admn,11
Electronics-----Transport,11
English Lit|English Lit-----Women & Child Dev,11
Chemistry|Chemistry-----Local Self Govt,11
History|History-----Textiles,11
History-----Planning & Prog Implementation,11
Economics|Law|Economics-----Health & Family Welfare,11
History|History-----Science & Technology,11
Economics|Law|Economics-----Home,11
Law|Economics-----Finance,11
Botany-----Urban Development,11
Mech.engg.-----Labour & Employment,11
History|History-----Communications & Information Technology,11
Chemistry-----Agriculture & Cooperation,11
English|Law|History-----Land Revenue Mgmt & District Admn,11
History|History-----Defence,11
Economics|Law|Economics-----Human Resource Dev,11
Agriculture-----Urban Development,11
Electronics-----Energy,11
Physics|Physics-----Defence,11
Mech.engg.-----Communications & Information Technology,11
History|Law|Economics-----Land Revenue Mgmt & District Admn,11
Law|History-----Land Revenue Mgmt & District Admn,11
Zoology|Zoology-----Agriculture & Cooperation,11
Civil Engg|Building Sc-----Land Revenue Mgmt & District Admn,11
"Civil Engg-----Consumer Affairs, Food & PD",11
Civil Engg-----Public Works,11
Economics|Economics-----Science & Technology,11
Philosophy-----N.Applicable,11
N.A.-----Parliamentary Affairs,11
Electrical Engg.-----Communications & Information Technology,11
Civil Engg-----Local Self Govt,11
Electrical Engg.|Power Sys Engg-----Land Revenue Mgmt & District Admn,11
English|Law|Public Admn-----Land Revenue Mgmt & District Admn,11
Agriculture|Agronomy-----Land Revenue Mgmt & District Admn,11
English Lit|Economics|Political Sc.-----Finance,11
History-----,11
Physics|Physics-----Public Works,10
Medicine-----N.A.,10
English|Law-----Social Justice & Empowerment,10
Economics|Economics-----Communications & Information Technology,10
Economics-----Water Resources,10
History|Political Sc.-----Human Resource Dev,10
Philosophy|Philosophy-----Finance,10
English Lit-----Industries,10
Physics|Business Admn.|Physics-----Personnel and General Administration,10
Chemical Engg-----Finance,10
Philosophy|Philosophy-----Agriculture & Cooperation,10
English|Economics-----Industries,10
Education|English-----Personnel and General Administration,10
Hindi-----Agriculture & Cooperation,10
Zoology-----Finance,10
Business Admn.-----Land Revenue Mgmt & District Admn,10
Physics|Physics-----Law & Justice,10
History|Economics-----Finance,10
Political Sc.|Public Admn-----Land Revenue Mgmt & District Admn,10
History|Economics-----Industries,10
Physics|Physics-----Mines & Minerals,10
Law-----Finance,10
Physics|Physics-----Local Self Govt,10
Political Sc.-----Planning & Prog Implementation,10
English|English-----Protocol,10
Economics-----ST Welfare,10
Physics|Economics|Physics-----Agriculture & Cooperation,10
History|Political Sc.-----Labour & Employment,10
Art-----N.Applicable,10
English-----Protocol,10
Botany|Botany-----Home,10
English Lit|History-----Personnel and General Administration,10
