Item,Count,Field,Subject
,34,Personnel and General Administration,English|Political Sc.
,33,Labour & Employment,English
,33,"Consumer Affairs, Food & PD",Political Sc.
,33,Finance,English|Political Sc.
,33,Corporate Management (New),Economics
,33,Urban Development,Civil Engg
,33,Rural Dev,English
,33,Land Revenue Mgmt & District Admn,Law|Chemistry
,33,Finance,Law|Commerce
,33,Personnel and General Administration,Economics|Political Sc.
,32,Land Revenue Mgmt & District Admn,Public Admn|History
,32,Personnel and General Administration,Civil Engg
,32,Urban Development,Commerce
,32,N.Applicable,Computer Sc
,32,Labour & Employment,History
,32,Land Revenue Mgmt & District Admn,Law|Mathematics
,32,N.A.,Hons
,31,Finance,Economics|English Lit
,31,Textiles,Economics
,31,Personnel and General Administration,Law|History
,31,Industries,Commerce
,31,Home,Chemistry
,31,Protocol,Economics
,30,Environment & Forests,History
,30,Rural Dev,Electrical Engg.
,30,N.Applicable,Chemical Engg
,30,Personnel and General Administration,Economics|History
,30,Finance,Geology
,29,Personnel and General Administration,Geography
,29,Industries,Civil Engg
,29,Land Revenue Mgmt & District Admn,Physics|Chemistry
,29,Commerce,History
,29,,Electrical Engg.
,29,Health & Family Welfare,English Lit
,29,Tourism,Economics
,29,N.Applicable,Electronics
,29,Finance,Law|Physics
,29,Home,English Lit
,28,Labour & Employment,Political Sc.
,28,Environment & Forests,Physics
,28,Rural Dev,Civil Engg
,28,Industries,Electrical Engg.
,28,Land Revenue Mgmt & District Admn,Physics|Business Admn.
,28,Information & Broadcasting,Physics
,28,Finance,Economics|Political Sc.
,28,Human Resource Dev,Chemistry
,28,Finance,English|English Lit
,28,Industries,History|Political Sc.
,28,Commerce,English
,28,Agriculture & Cooperation,Law|English
,27,Energy,Mech.engg.
,27,Social Justice & Empowerment,Commerce
,27,N.A.,Agri.
,27,,Computer Sc
,27,Agriculture & Cooperation,English|English Lit
,27,Local Self Govt,History
,27,Service Commn,N.A.
,27,Protocol,History
,26,Agriculture & Cooperation,Medicine
,26,,Mech.engg.
,26,Staff Officers,N.A.
,26,Land Revenue Mgmt & District Admn,Economics|Commerce
,26,Information & Broadcasting,History
,26,Labour & Employment,Physics
,26,Social Justice & Empowerment,Economics|Law
,26,Home,Economics|History
,25,Health & Family Welfare,Physics
,25,Urban Development,Electronics
,25,Information & Broadcasting,Economics
,25,Rural Dev,Medicine
,25,Finance,Law|Political Sc.
,25,Urban Development,English Lit
,25,Agriculture & Cooperation,English|Political Sc.
,25,Rural Dev,Mathematics
,25,Culture,History
,25,Home,Economics|Law
,25,N.A.,Electronics
,25,Agriculture & Cooperation,Law|Physics
,25,Industries,Law|English
,24,Human Resource Dev,Mech.engg.
,24,Finance,Law|History
,24,,Political Sc.
,24,Urban Development,Mathematics
,24,Agriculture & Cooperation,Civil Engg
,24,Industries,Economics|History
,24,N.Applicable,Mathematics
,24,,Civil Engg
,24,Personnel and General Administration,Geology
,24,Personnel and General Administration,History|Political Sc.
,24,Local Self Govt,English
,24,Land Revenue Mgmt & District Admn,Economics|Law|Political Sc.
,24,Human Resource Dev,Economics|Law
,24,Textiles,N.A.
,23,Finance,Law|Chemistry
,23,Land Revenue Mgmt & District Admn,Public Admn|Political Sc.
,23,Public Works,History
,23,Personnel and General Administration,Physics|Business Admn.
,23,Rural Dev,Economics|Law
,23,Land Revenue Mgmt & District Admn,Psychology
,23,Finance,Botany
,23,Rural Dev,English Lit
,23,Agriculture & Cooperation,Law|Commerce
,23,Urban Development,Botany
,23,Women & Child Dev,Economics
,23,Agriculture & Cooperation,Economics|History
,23,Social Justice & Empowerment,Medicine
,23,"Consumer Affairs, Food & PD",English Lit
,23,Tourism,Political Sc.
,22,Industries,Law|Commerce
,22,N.Applicable,English|English Lit
,22,Finance,Economics|Business Admn.
,22,Science & Technology,N.A.
,22,Finance,Economics|English
,22,Land Revenue Mgmt & District Admn,N.A.|Law
,22,Personnel and General Administration,Electronics
,22,Land Revenue Mgmt & District Admn,Electronics Engg
,22,Land Revenue Mgmt & District Admn,Civil Engg|Structural Engg
,22,Industries,Economics|English Lit
,22,Finance,Electronics
,22,Finance,English Lit|History
,22,Land Revenue Mgmt & District Admn,Accountancy
,22,Agriculture & Cooperation,Mathematics|Physics
,22,Finance,Economics|Physics
,22,Land Revenue Mgmt & District Admn,Economics|Public Admn
,22,Local Self Govt,Medicine
,21,Agriculture & Cooperation,Economics|Physics
,21,Health & Family Welfare,Electrical Engg.
,21,Land Revenue Mgmt & District Admn,Commerce|Business Admn.
,21,Energy,Electrical Engg.
,21,Finance,Agriculture
,21,Energy,English
,21,Personnel and General Administration,English|History
,21,Urban Development,Law|Physics
,21,Agriculture & Cooperation,Botany
,21,Water Resources,English
,21,Labour & Employment,Economics|Law
,21,N.Applicable,Commerce
,21,Urban Development,Agriculture
,21,Water Resources,Political Sc.
,21,Finance,History|Political Sc.
,21,Communications & Information Technology,N.A.
,20,Land Revenue Mgmt & District Admn,English|Mathematics
,20,Protocol,English
,20,Water Resources,History
,20,Tourism,History
,20,Transport,English Lit
,20,Personnel and General Administration,Computer Sc
,20,Agriculture & Cooperation,Electrical Engg.
,20,Health & Family Welfare,Mech.engg.
,20,Human Resource Dev,Commerce
,20,Urban Development,Law|History
,20,Agriculture & Cooperation,Economics|English Lit
,20,N.Applicable,Public Admn|History
,20,Environment & Forests,Political Sc.
,20,Land Revenue Mgmt & District Admn,Mech.engg.|Business Admn.
,20,Planning & Prog Implementation,English Lit
,20,Protocol,N.A.
,20,Personnel and General Administration,Philosophy
,20,Urban Development,Computer Sc
,20,Personnel and General Administration,English Lit|Political Sc.
,19,Land Revenue Mgmt & District Admn,Surgery
,19,Finance,Computer Sc
,19,Agriculture & Cooperation,English|History
,19,Urban Development,English|Political Sc.
,19,Rural Dev,Commerce
,19,Home,Mathematics|Physics
,19,Public Works,Economics
,19,Planning & Prog Implementation,Economics|Law
,19,Agriculture & Cooperation,History|Political Sc.
,19,,History
,19,Personnel and General Administration,Law|Political Sc.
,19,Agriculture & Cooperation,Philosophy
,19,Commerce,Physics
,19,"Consumer Affairs, Food & PD",Chemistry
,19,Corporate Management (New),History
,19,Land Revenue Mgmt & District Admn,Physics|Mathematics
,19,ST Welfare,Economics
,19,Agriculture & Cooperation,Economics|Political Sc.
,19,Home,Mech.engg.
,19,N.A.,|Comp. Sci.
,19,Home,Mathematics
,19,Land Revenue Mgmt & District Admn,Law|Hindi
,19,Transport,Mathematics
,19,Land Revenue Mgmt & District Admn,Agriculture|Genetics
,19,Personnel and General Administration,Economics|English Lit
,19,Land Revenue Mgmt & District Admn,Mech.engg.|Indl Engg.
,19,Industries,Economics|English
,18,Industries,English|Political Sc.
,18,N.Applicable,Economics|Business Admn.
,18,Personnel and General Administration,Law|Physics
,18,N.Applicable,Geography
,18,Home,Law|Political Sc.
,18,Health & Family Welfare,Economics|Law
,18,Land Revenue Mgmt & District Admn,Art
,18,Agriculture & Cooperation,English Lit|Political Sc.
,18,Human Resource Dev,Law|Political Sc.
,18,Industries,Economics|Business Admn.
,18,Agriculture & Cooperation,Law|History
,18,Law & Justice,Physics
,18,Land Revenue Mgmt & District Admn,Electronics and Communication|Electronics
,18,Staff Officers,Economics
,18,Land Revenue Mgmt & District Admn,Prodn.Engg.
,18,Social Justice & Empowerment,Chemistry
,18,Mines & Minerals,History
,18,Finance,Chemical Engg
,18,ST Welfare,English
,18,Tourism,English
,18,Land Revenue Mgmt & District Admn,History|Business Admn.
,18,Social Justice & Empowerment,English|English Lit
,18,Personnel and General Administration,Law|Chemistry
,18,Land Revenue Mgmt & District Admn,Science
,18,Personnel and General Administration,Economics|Public Admn
,18,Transport,Civil Engg
,18,Land Revenue Mgmt & District Admn,Agriculture|Agronomy
,18,Transport,Electrical Engg.
,18,Water Resources,Mech.engg.
,18,Information & Broadcasting,Political Sc.
,18,Land Revenue Mgmt & District Admn,Political Sc.|Business Admn.
,17,Land Revenue Mgmt & District Admn,History|Modern Ind.Hist
,17,Youth Affairs & Sports,Political Sc.
,17,Agriculture & Cooperation,Zoology
,17,Social Justice & Empowerment,Law|English
,17,Culture,Economics
,17,Staff Officers,Mech.engg.
,17,"Consumer Affairs, Food & PD",Commerce
,17,Industries,Economics|Political Sc.
,17,Health & Family Welfare,Civil Engg
,17,Personnel and General Administration,English|English Lit
,17,N.Applicable,Electronics and Communication
,17,Land Revenue Mgmt & District Admn,Economics|Hindi
,17,Industries,Law|Physics
,17,Personnel and General Administration,Zoology
,17,Land Revenue Mgmt & District Admn,Public Admn|Physics
,17,Industries,Law|History
,17,Finance,Zoology
,17,Personnel and General Administration,Economics|Physics
,17,Energy,Commerce
,17,Urban Development,Economics|History
,17,Industries,Medicine
,17,Land Revenue Mgmt & District Admn,English|Sociology
,17,Home,Commerce
,17,Social Justice & Empowerment,Mech.engg.
,17,Mines & Minerals,Political Sc.
,17,Finance,Law|Mathematics
,17,Human Resource Dev,Medicine
,16,Urban Development,History|Political Sc.
,16,Health & Family Welfare,Chemistry
,16,Science & Technology,Physics
,16,Personnel and General Administration,Statistics
,16,Commerce,Political Sc.
,16,Finance,Economics|Commerce
,16,Land Revenue Mgmt & District Admn,Law|English|Political Sc.
,16,Planning & Prog Implementation,Electrical Engg.
,16,Home,Electrical Engg.
,16,N.A.,Physics
,16,Agriculture & Cooperation,Law|Political Sc.
,16,Urban Development,Law|Political Sc.
,16,Finance,Philosophy
,16,Home,Medicine
,16,Local Self Govt,Physics
,16,Land Revenue Mgmt & District Admn,Commerce|Accountancy
,16,Personnel and General Administration,Law
,16,Land Revenue Mgmt & District Admn,Sanskrit
,16,Land Revenue Mgmt & District Admn,Economics|Law|History
,16,Transport,Economics|Law
,16,Transport,Mech.engg.
,16,Textiles,History
,16,Personnel and General Administration,English Lit|History
,16,Industries,Mathematics|Physics
,16,Environment & Forests,English Lit
,16,"Consumer Affairs, Food & PD",Medicine
,16,Local Self Govt,Electrical Engg.
,16,Land Revenue Mgmt & District Admn,Metallurgy
,16,Public Works,English
,16,Youth Affairs & Sports,History
,16,Personnel and General Administration,German|Physics
,16,Law & Justice,English
,15,Land Revenue Mgmt & District Admn,Horticulture|Agriculture
,15,Textiles,English
,15,Industries,Public Admn|Political Sc.
,15,Communications & Information Technology,Physics
,15,Urban Development,Law|Commerce
,15,,Electronics
,15,N.Applicable,Geology
,15,Defence,Physics
,15,Science & Technology,Economics
,15,Finance,English Lit|Mathematics
,15,Human Resource Dev,English|Political Sc.
,15,Land Revenue Mgmt & District Admn,Civil Engg|Management
,15,Finance,Public Admn|History
,15,Rural Dev,Computer Sc
,15,Land Revenue Mgmt & District Admn,Law|English Lit
,15,Finance,English Lit|Political Sc.
,15,Culture,English
,15,Urban Development,Economics|English
,15,Land Revenue Mgmt & District Admn,Public Admn|Law|Political Sc.
,15,Local Self Govt,Mech.engg.
,15,Human Resource Dev,English|English Lit
,15,Land Revenue Mgmt & District Admn,Public Admn|English
,15,Urban Development,Law
,15,Industries,Law|Political Sc.
,15,Land Revenue Mgmt & District Admn,Electronics and Communication
,15,Industries,Physics|Business Admn.
,15,Personnel and General Administration,Physics|Mathematics
,15,Local Self Govt,Commerce
,15,Women & Child Dev,Political Sc.
,15,N.Applicable,Philosophy
,15,Industries,Botany
,15,Personnel and General Administration,Economics|Development Economics
,14,Agriculture & Cooperation,Law|Chemistry
,14,Land Revenue Mgmt & District Admn,Engineeriing
,14,Industries,Public Admn|History
,14,Social Justice & Empowerment,Economics|English
,14,Human Resource Dev,Economics|History
,14,Youth Affairs & Sports,Physics
,14,Human Resource Dev,Civil Engg
,14,Water Resources,Civil Engg
,14,Finance,Statistics
,14,Human Resource Dev,English|History
,14,Finance,Physics|Mathematics
,14,Land Revenue Mgmt & District Admn,N.A.|Civil Engg
,14,N.A.,|Electronics & Telecom Engg
,14,Culture,Political Sc.
,14,Planning & Prog Implementation,Mathematics
,14,Land Revenue Mgmt & District Admn,Geology|Physics
,14,Social Justice & Empowerment,Mathematics
,14,Health & Family Welfare,Law|English
,14,Tourism,Physics
,14,Land Revenue Mgmt & District Admn,Sanskrit|Law
,14,Land Revenue Mgmt & District Admn,Zoology|Botany
,14,ST Welfare,Political Sc.
,14,Labour & Employment,Civil Engg
,14,"Consumer Affairs, Food & PD",Law|Physics
,14,Agriculture & Cooperation,Geography
,14,Public Works,Civil Engg
,14,Public Works,Political Sc.
,14,Personnel and General Administration,History|Business Admn.
,14,Staff Officers,Physics
,14,Youth Affairs & Sports,Economics
,14,Energy,Civil Engg
,13,Social Justice & Empowerment,Electrical Engg.
,13,Defence,Economics
,13,Agriculture & Cooperation,Economics|Business Admn.
,13,N.Applicable,Zoology
,13,Industries,English|History
,13,Industries,Economics|Physics
,13,Labour & Employment,Chemistry
,13,Health & Family Welfare,History|Political Sc.
,13,Human Resource Dev,History|Political Sc.
,13,Staff Officers,Medicine
,13,Science & Technology,History
,13,Rural Dev,Chemistry
,13,Local Self Govt,Political Sc.
,13,Law & Justice,Political Sc.
,13,Agriculture & Cooperation,Economics|Commerce
,13,Communications & Information Technology,Economics
,13,Personnel and General Administration,Sociology|History
,13,Commerce,English Lit
,13,N.Applicable,Physics|Business Admn.
,13,Home,Public Admn|History
,13,Public Administration,Economics
,13,Land Revenue Mgmt & District Admn,Sociology|Physics
,13,Land Revenue Mgmt & District Admn,Science|Physics
,13,Urban Development,Geology
,13,Social Justice & Empowerment,Electronics
,13,Personnel and General Administration,Sociology
,13,Corporate Management (New),Economics|Law
,13,Social Justice & Empowerment,Law|History
,13,Land Revenue Mgmt & District Admn,English|Physics
,13,Rural Dev,Mech.engg.
,13,Energy,Chemistry
,13,Social Justice & Empowerment,Civil Engg
,13,Home,Civil Engg
,13,N.A.,History
,13,Urban Development,Chemical Engg
,13,Local Self Govt,Chemistry
,13,Finance,Geography
,13,Public Works,Physics
,13,Finance,Physics|Chemistry
,13,Land Revenue Mgmt & District Admn,Electrical Engg.|Business Admn.
,13,Human Resource Dev,Mathematics
,13,Staff Officers,History
,13,Land Revenue Mgmt & District Admn,Mathematics|Pure Math.
,13,Personnel and General Administration,Economics|Business Admn.
,13,Agriculture & Cooperation,Public Admn|History
,13,Transport,Geography
,12,N.Applicable,Economics|Physics
,12,Women & Child Dev,History
,12,Agriculture & Cooperation,Hindi
,12,Health & Family Welfare,Chemical Engg
,12,N.A.,Chemistry
,12,N.A.,|Hons
,12,Home,Agriculture
,12,Social Justice & Empowerment,Economics|History
,12,Land Revenue Mgmt & District Admn,Instrumentation
,12,Law & Justice,History
,12,Personnel and General Administration,Public Admn|Political Sc.
,12,Energy,Mathematics
,12,Land Revenue Mgmt & District Admn,Economics|Development Economics
,12,Labour & Employment,Law|English
,12,Finance,English|Mathematics
,12,"Consumer Affairs, Food & PD",Law|English
,12,Land Revenue Mgmt & District Admn,Agriculture|Agrl.Economics
,12,Land Revenue Mgmt & District Admn,Chemistry|Business Admn.
,12,Agriculture & Cooperation,Geology
,12,N.A.,|Chem. Engg
,12,"Consumer Affairs, Food & PD",Geology
,12,Finance,Economics|Law|Business Admn.
,12,Communications & Information Technology,History
,12,Urban Development,English Lit|Political Sc.
,12,Parliamentary Affairs,N.A.
,12,"Consumer Affairs, Food & PD",Civil Engg
,12,Labour & Employment,History|Political Sc.
,12,Home,Economics|Political Sc.
,12,Textiles,Political Sc.
,12,Finance,Physics|Business Admn.
,12,"Consumer Affairs, Food & PD",English|History
,12,Human Resource Dev,Law|Commerce
,12,,Physics
,12,Local Self Govt,Economics|History
,12,N.Applicable,Economics|History
,12,N.Applicable,History|Business Admn.
,12,N.Applicable,English Lit|History
,12,Home,Economics|English
,12,Industries,Agriculture
,12,Agriculture & Cooperation,Civil Engg|Business Admn.
,12,Human Resource Dev,Law|Physics
,12,Land Revenue Mgmt & District Admn,Public Admn|Civil Engg
,12,N.Applicable,English|Political Sc.
,12,Local Self Govt,English Lit
,12,Industries,Geology
,12,Finance,English|History
,12,Land Revenue Mgmt & District Admn,Statistics|Mathematics
,12,Communications & Information Technology,Electrical Engg.
,12,Rural Dev,Electronics
,12,Communications & Information Technology,Mech.engg.
,12,Home,Geology
,12,Land Revenue Mgmt & District Admn,Business Admn.
,12,Home,English|Political Sc.
,12,Water Resources,Medicine
,12,Land Revenue Mgmt & District Admn,History|Physics
,12,Land Revenue Mgmt & District Admn,Petroleum Engg
,12,Staff Officers,Commerce
,12,Textiles,Mech.engg.
,11,Agriculture & Cooperation,Physics|Mathematics
,11,,Agriculture
,11,Social Justice & Empowerment,Zoology
,11,Urban Development,Geography
,11,Land Revenue Mgmt & District Admn,Cooperation|Agriculture
,11,Land Revenue Mgmt & District Admn,Plant Pathology|Agriculture
,11,Water Resources,Law|English
,11,Land Revenue Mgmt & District Admn,Electrical Engg.|Power Sys Engg
,11,Public Works,English Lit
,11,Agriculture & Cooperation,English Lit|History
,11,Land Revenue Mgmt & District Admn,Law|Public Admn|English
,11,Agriculture & Cooperation,Public Admn|English
,11,Industries,Public Admn|English
,11,Personnel and General Administration,Public Admn|English
,11,Personnel and General Administration,Hindi
,11,Local Self Govt,Law|English
,11,Land Revenue Mgmt & District Admn,English|Business Admn.
,11,Land Revenue Mgmt & District Admn,Botany|Chemistry
,11,Water Resources,Economics|Law
,11,Law & Justice,Economics|Law
,11,Home,Law|Mathematics
,11,Personnel and General Administration,Agriculture
,11,Human Resource Dev,Economics|English Lit
,11,Land Revenue Mgmt & District Admn,Law|English|History
,11,Urban Development,Economics|Business Admn.
,11,Finance,Law
,11,Social Justice & Empowerment,Law
,11,Health & Family Welfare,English|History
,11,Land Revenue Mgmt & District Admn,Economics|Commerce|Law
,11,Land Revenue Mgmt & District Admn,Building Sc|Civil Engg
,11,Defence,History
,11,N.A.,Philosophy
,11,Energy,Economics|Law
,11,Land Revenue Mgmt & District Admn,Physics|Political Sc.
,11,Energy,Electronics
,11,Law & Justice,Chemistry
,11,Human Resource Dev,Zoology
,11,Land Revenue Mgmt & District Admn,Public Policy|History
,11,Agriculture & Cooperation,Economics|Development Economics
,11,Industries,English|English Lit
,11,Land Revenue Mgmt & District Admn,Economics|Education
,11,Health & Family Welfare,Commerce
,11,Home,Botany
,11,Transport,Law|Mathematics
,11,Environment & Forests,Economics|Physics
,11,Commerce,Economics|Law
,11,Health & Family Welfare,Mathematics
,11,N.Applicable,Botany
,11,Local Self Govt,Civil Engg
,11,Land Revenue Mgmt & District Admn,Economics|Public Admn|Political Sc.
,11,Land Revenue Mgmt & District Admn,Economics|Law|Business Admn.
,11,Mines & Minerals,Mathematics
,11,Labour & Employment,Mech.engg.
,11,Transport,Electronics
,11,Women & Child Dev,English Lit
,11,Finance,Economics|English Lit|Political Sc.
,11,Finance,Psychology
,11,Transport,Law|Commerce
,11,Planning & Prog Implementation,Economics|English
,11,Land Revenue Mgmt & District Admn,Economics|Sociology
,11,Energy,English Lit
,11,Land Revenue Mgmt & District Admn,English Lit|History|Political Sc.
,11,Rural Dev,Economics|English
,11,Urban Development,Economics|Political Sc.
,11,Water Resources,Commerce
,11,Land Revenue Mgmt & District Admn,Economics|Management
,11,Home,Law|English
,11,Transport,Commerce
,10,Local Self Govt,Computer Sc
,10,Land Revenue Mgmt & District Admn,Nuclear Physics|Physics
,10,Health & Family Welfare,Public Admn|History
,10,Personnel and General Administration,Mech.engg.|Business Admn.
,10,Land Revenue Mgmt & District Admn,Public Admn|Electrical Engg.
,10,Protocol,Political Sc.
,10,Home,Law|Commerce
,10,Textiles,Mathematics
,10,Environment & Forests,Economics|Law
,10,"Consumer Affairs, Food & PD",History|Political Sc.
,10,Land Revenue Mgmt & District Admn,Public Admn|Law|History
,10,N.Applicable,Economics|English
,10,Land Revenue Mgmt & District Admn,Law|Public Admn|Commerce
,10,Corporate Management (New),English
,10,Social Justice & Empowerment,Botany
,10,N.Applicable,Science
,10,Defence,Political Sc.
,10,Finance,English|Business Admn.
,10,Corporate Management (New),Chemistry
,10,Land Revenue Mgmt & District Admn,Public Policy & Mgmt|Electrical Engg.
